,fibro,endo,immune
EFTUD2,109.0,75.0,48.0
EGF,0.0,0.0,0.0
EGFEM1P,0.0,0.0,0.0
EGFL6,4.0,0.0,0.0
EGFL7,39.0,934.0,6.0
EGFL8,0.0,0.0,0.0
EGFLAM,3.0,3.0,1.0
EGFR,61.0,7.0,0.0
EGLN1,49.0,59.0,12.0
EGLN2,54.0,61.0,29.0
EGLN3,21.0,9.0,0.0
EGOT,0.0,0.0,0.0
EGR1,765.0,577.0,231.0
EGR2,87.0,12.0,21.0
EGR3,23.0,14.0,19.0
EGR4,9.0,2.0,6.0
EHBP1,48.0,28.0,7.0
EHBP1L1,36.0,47.0,58.0
EHD1,96.0,50.0,33.0
EHD2,218.0,55.0,1.0
EHD3,27.0,19.0,0.0
EHD4,13.0,289.0,16.0
EHF,2.0,0.0,0.0
EHHADH,3.0,4.0,0.0
EHMT1,18.0,32.0,14.0
EHMT2,32.0,41.0,19.0
EI24,276.0,224.0,39.0
EID1,225.0,175.0,25.0
EID2,31.0,49.0,6.0
EID2B,2.0,2.0,0.0
EID3,2.0,2.0,1.0
EIF1,2088.0,1720.0,516.0
EIF1AD,28.0,15.0,7.0
EIF1AX,268.0,230.0,51.0
EIF1AY,50.0,26.0,12.0
EIF1B,149.0,99.0,38.0
EIF2A,66.0,31.0,7.0
EIF2AK1,59.0,78.0,44.0
EIF2AK2,46.0,52.0,23.0
EIF2AK3,16.0,10.0,6.0
EIF2AK4,42.0,27.0,16.0
EIF2B1,41.0,44.0,15.0
EIF2B2,59.0,90.0,9.0
EIF2B3,9.0,7.0,5.0
EIF2B4,24.0,27.0,5.0
EIF2B5,57.0,44.0,16.0
EIF2D,23.0,29.0,13.0
EIF2S1,78.0,85.0,24.0
EIF2S2,306.0,302.0,88.0
EIF2S3,63.0,57.0,23.0
EIF2S3L,1.0,1.0,3.0
EIF3A,162.0,117.0,62.0
EIF3B,226.0,169.0,65.0
EIF3C,85.0,107.0,19.0
EIF3CL,0.0,0.0,0.0
EIF3D,192.0,155.0,52.0
EIF3E,179.0,92.0,24.0
EIF3F,142.0,91.0,32.0
EIF3G,198.0,135.0,41.0
EIF3H,242.0,197.0,64.0
EIF3I,163.0,167.0,13.0
EIF3J,103.0,104.0,22.0
EIF3K,301.0,242.0,84.0
EIF3L,209.0,124.0,54.0
EIF3M,122.0,81.0,28.0
EIF4A1,353.0,221.0,47.0
EIF4A2,280.0,204.0,103.0
EIF4A3,67.0,78.0,16.0
EIF4B,479.0,282.0,147.0
EIF4E,96.0,70.0,19.0
EIF4E2,58.0,48.0,24.0
EIF4E3,9.0,10.0,4.0
EIF4EBP1,112.0,80.0,12.0
EIF4EBP2,127.0,117.0,41.0
EIF4EBP3,5.0,1.0,2.0
EIF4ENIF1,30.0,20.0,3.0
EIF4G1,397.0,239.0,65.0
EIF4G2,591.0,740.0,158.0
EIF4G3,84.0,67.0,22.0
EIF4H,317.0,260.0,75.0
EIF5,130.0,99.0,43.0
EIF5A,682.0,370.0,123.0
EIF5A2,27.0,6.0,4.0
EIF5AL1,73.0,38.0,21.0
EIF5B,140.0,168.0,44.0
EIF6,114.0,98.0,36.0
ELAC1,10.0,13.0,6.0
ELAC2,34.0,38.0,7.0
ELANE,0.0,0.0,0.0
ELAVL1,152.0,138.0,45.0
ELAVL2,0.0,3.0,0.0
ELAVL4,1.0,12.0,6.0
ELF1,41.0,52.0,23.0
ELF2,31.0,58.0,10.0
ELF3,13.0,10.0,10.0
ELF4,25.0,55.0,24.0
ELF5,0.0,0.0,0.0
ELFN1,1.0,23.0,0.0
ELFN2,0.0,0.0,0.0
ELK1,103.0,35.0,21.0
ELK3,92.0,147.0,9.0
ELK4,49.0,50.0,11.0
ELL,56.0,23.0,18.0
ELL2,82.0,55.0,34.0
ELL3,0.0,0.0,0.0
ELMO1,1.0,65.0,6.0
ELMO2,33.0,20.0,14.0
ELMO3,2.0,3.0,0.0
ELMOD1,0.0,0.0,0.0
ELMOD2,20.0,22.0,7.0
ELMOD3,18.0,7.0,6.0
ELMSAN1,34.0,53.0,32.0
ELN,18.0,2.0,0.0
ELOF1,53.0,19.0,9.0
ELOVL1,132.0,120.0,65.0
ELOVL2,4.0,0.0,0.0
ELOVL3,1.0,0.0,0.0
ELOVL4,7.0,2.0,0.0
ELOVL5,145.0,76.0,26.0
ELOVL6,15.0,4.0,1.0
ELOVL7,2.0,1.0,4.0
ELP2,24.0,26.0,10.0
ELP3,24.0,24.0,14.0
ELP4,7.0,13.0,2.0
ELP5,33.0,19.0,7.0
ELP6,15.0,21.0,6.0
ELSPBP1,1.0,0.0,0.0
EMB,1.0,1.0,6.0
EMBP1,0.0,0.0,0.0
EMC1,27.0,17.0,9.0
EMC10,111.0,131.0,66.0
EMC2,42.0,18.0,5.0
EMC3,56.0,68.0,34.0
EMC4,170.0,166.0,28.0
EMC6,126.0,111.0,26.0
EMC7,116.0,64.0,50.0
EMC8,47.0,56.0,15.0
EMC9,12.0,5.0,3.0
EMCN,0.0,134.0,0.0
EMD,81.0,65.0,25.0
EME1,3.0,2.0,0.0
EME2,1.0,2.0,4.0
EMG1,68.0,61.0,16.0
EMID1,5.0,7.0,0.0
EMILIN1,513.0,31.0,2.0
EMILIN2,37.0,12.0,60.0
EMILIN3,1.0,0.0,0.0
EML1,28.0,38.0,0.0
EML2,32.0,20.0,15.0
EML3,55.0,79.0,16.0
EML4,59.0,23.0,36.0
EML5,0.0,0.0,0.0
EML6,0.0,0.0,0.0
EMP1,250.0,543.0,7.0
EMP2,40.0,89.0,9.0
EMP3,157.0,50.0,50.0
EMX1,0.0,0.0,0.0
EMX2,0.0,0.0,0.0
EMX2OS,0.0,0.0,0.0
EN1,1.0,0.0,0.0
EN2,0.0,0.0,0.0
ENAH,216.0,46.0,3.0
ENAM,1.0,2.0,0.0
ENC1,145.0,19.0,4.0
ENDOD1,21.0,25.0,12.0
ENDOG,22.0,14.0,12.0
ENDOU,0.0,0.0,0.0
ENDOV,2.0,7.0,5.0
ENG,824.0,3409.0,259.0
ENGASE,7.0,2.0,3.0
ENHO,0.0,0.0,0.0
ENKD1,26.0,24.0,3.0
ENKUR,0.0,1.0,0.0
ENO1,1210.0,704.0,370.0
ENO2,119.0,104.0,25.0
ENO3,1.0,4.0,5.0
ENO4,0.0,0.0,0.0
ENOPH1,51.0,60.0,15.0
ENOSF1,6.0,8.0,14.0
ENOX1,4.0,2.0,1.0
ENOX2,13.0,21.0,4.0
ENPEP,41.0,4.0,0.0
ENPP1,29.0,1.0,1.0
ENPP2,18.0,45.0,12.0
ENPP3,0.0,0.0,3.0
ENPP4,5.0,17.0,1.0
ENPP5,2.0,0.0,0.0
ENPP6,0.0,3.0,1.0
ENPP7,0.0,0.0,0.0
ENSA,98.0,99.0,31.0
ENTHD1,1.0,0.0,0.0
ENTHD2,20.0,19.0,3.0
ENTPD1,5.0,35.0,17.0
ENTPD2,2.0,0.0,0.0
ENTPD3,3.0,6.0,2.0
ENTPD4,34.0,25.0,11.0
ENTPD5,6.0,2.0,0.0
ENTPD6,9.0,10.0,8.0
ENTPD7,1.0,2.0,0.0
ENTPD8,0.0,0.0,0.0
ENY2,161.0,131.0,19.0
EOGT,7.0,27.0,5.0
EOMES,0.0,0.0,1.0
EP300,66.0,73.0,29.0
EP400,25.0,27.0,18.0
EP400NL,7.0,4.0,1.0
EPAS1,770.0,570.0,42.0
EPB41,3.0,22.0,6.0
EPB41L1,38.0,17.0,17.0
EPB41L2,77.0,63.0,24.0
EPB41L3,13.0,36.0,107.0
EPB41L4A,1.0,13.0,1.0
EPB41L4B,4.0,4.0,1.0
EPB41L5,9.0,12.0,1.0
EPB42,0.0,0.0,0.0
EPC1,39.0,52.0,12.0
EPC2,18.0,12.0,1.0
EPCAM,20.0,24.0,17.0
EPDR1,49.0,8.0,1.0
EPG5,23.0,11.0,10.0
EPGN,0.0,0.0,0.0
EPHA1,1.0,0.0,0.0
EPHA10,0.0,0.0,0.0
EPHA2,7.0,43.0,0.0
EPHA3,14.0,0.0,0.0
EPHA4,0.0,14.0,0.0
EPHA5,0.0,0.0,0.0
EPHA6,0.0,0.0,0.0
EPHA7,1.0,0.0,0.0
EPHA8,0.0,0.0,0.0
EPHB1,0.0,5.0,0.0
EPHB2,17.0,1.0,8.0
EPHB3,8.0,0.0,1.0
EPHB4,10.0,75.0,0.0
EPHB6,5.0,0.0,0.0
EPHX1,120.0,54.0,18.0
EPHX2,5.0,1.0,2.0
EPHX3,2.0,1.0,1.0
EPHX4,0.0,21.0,0.0
EPM2A,6.0,0.0,0.0
EPM2AIP1,21.0,19.0,11.0
EPN1,87.0,73.0,19.0
EPN2,29.0,40.0,9.0
EPN3,0.0,0.0,0.0
EPO,0.0,0.0,0.0
EPOR,15.0,17.0,3.0
EPPIN,0.0,0.0,0.0
EPPIN.WFDC6,0.0,0.0,0.0
EPPK1,0.0,0.0,0.0
EPRS,110.0,67.0,19.0
EPS15,50.0,66.0,15.0
EPS15L1,34.0,25.0,9.0
EPS8,81.0,16.0,2.0
EPS8L1,3.0,13.0,0.0
EPS8L2,2.0,1.0,1.0
EPS8L3,0.0,0.0,0.0
EPSTI1,3.0,8.0,13.0
EPT1,26.0,20.0,1.0
EPX,0.0,0.0,0.0
EPYC,0.0,0.0,0.0
EQTN,0.0,0.0,0.0
ERAL1,44.0,45.0,20.0
ERAP1,23.0,12.0,5.0
ERAP2,5.0,34.0,3.0
ERAS,0.0,0.0,0.0
ERBB2,15.0,3.0,1.0
ERBB2IP,57.0,102.0,25.0
ERBB3,1.0,0.0,1.0
ERBB4,4.0,1.0,0.0
ERC1,48.0,58.0,13.0
ERC2,0.0,1.0,0.0
ERCC1,90.0,62.0,17.0
ERCC2,5.0,4.0,5.0
ERCC3,53.0,54.0,10.0
ERCC4,18.0,15.0,6.0
ERCC5,35.0,16.0,11.0
ERCC6,4.0,8.0,1.0
ERCC6.PGBD3,0.0,0.0,0.0
ERCC6L,0.0,0.0,0.0
ERCC6L2,9.0,5.0,3.0
ERCC8,8.0,5.0,0.0
EREG,0.0,0.0,9.0
ERF,94.0,120.0,32.0
ERG,13.0,258.0,1.0
ERGIC1,219.0,109.0,90.0
ERGIC2,35.0,34.0,14.0
ERGIC3,237.0,179.0,64.0
ERH,387.0,325.0,60.0
ERI1,7.0,11.0,6.0
ERI2,7.0,3.0,2.0
ERI3,49.0,33.0,15.0
ERICH1,23.0,39.0,9.0
ERICH2,0.0,0.0,0.0
ERICH3,0.0,0.0,0.0
ERICH5,0.0,3.0,0.0
ERICH6,0.0,0.0,0.0
ERICH6B,0.0,0.0,0.0
ERLEC1,57.0,44.0,11.0
ERLIN1,40.0,66.0,16.0
ERLIN2,22.0,24.0,10.0
ERMAP,1.0,0.0,0.0
ERMARD,12.0,7.0,4.0
ERMN,0.0,0.0,0.0
ERMP1,4.0,10.0,14.0
ERN1,24.0,10.0,6.0
ERN2,0.0,0.0,0.0
ERO1A,74.0,57.0,19.0
ERO1B,26.0,59.0,24.0
ERP27,0.0,1.0,0.0
ERP29,186.0,103.0,78.0
ERP44,79.0,73.0,30.0
ERRFI1,51.0,26.0,9.0
ERV3.1,4.0,3.0,5.0
ERVFRD.1,0.0,0.0,0.0
ERVH.1,0.0,0.0,0.0
ERVH48.1,0.0,0.0,0.0
ERVK3.1,8.0,0.0,0.0
ERVMER34.1,2.0,0.0,0.0
ERVMER61.1,0.0,0.0,0.0
ERVV.1,0.0,0.0,0.0
ERVW.1,0.0,0.0,0.0
ESAM,61.0,831.0,0.0
ESCO1,11.0,11.0,5.0
ESCO2,0.0,0.0,2.0
ESD,107.0,53.0,20.0
ESM1,6.0,790.0,1.0
ESPL1,0.0,5.0,2.0
ESPN,0.0,0.0,0.0
ESPNL,1.0,0.0,0.0
ESPNP,0.0,0.0,0.0
ESR1,2.0,1.0,1.0
ESR2,0.0,0.0,0.0
ESRG,0.0,0.0,0.0
ESRP1,3.0,7.0,2.0
ESRP2,0.0,0.0,2.0
ESRRA,57.0,69.0,18.0
ESRRB,0.0,0.0,0.0
ESRRG,2.0,0.0,2.0
ESX1,0.0,0.0,0.0
ESYT1,74.0,71.0,60.0
ESYT2,134.0,76.0,30.0
ESYT3,0.0,0.0,0.0
ETAA1,8.0,8.0,3.0
ETF1,163.0,106.0,38.0
ETFA,91.0,61.0,22.0
ETFB,68.0,58.0,38.0
ETFDH,12.0,9.0,4.0
ETHE1,115.0,56.0,24.0
ETNK1,39.0,32.0,12.0
ETNK2,8.0,12.0,1.0
ETNPPL,0.0,0.0,0.0
ETS1,259.0,830.0,15.0
ETS2,99.0,409.0,61.0
ETV1,15.0,5.0,6.0
ETV2,4.0,3.0,0.0
ETV3,62.0,46.0,16.0
ETV3L,1.0,0.0,0.0
ETV4,13.0,4.0,2.0
ETV5,41.0,24.0,13.0
ETV6,26.0,39.0,37.0
ETV7,2.0,1.0,0.0
EVA1A,21.0,1.0,2.0
EVA1B,327.0,283.0,23.0
EVA1C,8.0,8.0,0.0
EVC,1.0,0.0,0.0
EVC2,5.0,1.0,0.0
EVI2A,2.0,1.0,27.0
EVI2B,0.0,1.0,43.0
EVI5,48.0,41.0,14.0
EVI5L,20.0,10.0,4.0
EVL,63.0,20.0,28.0
EVPL,0.0,1.0,4.0
EVPLL,0.0,0.0,0.0
EVX1,0.0,0.0,0.0
EWSAT1,0.0,0.0,0.0
EWSR1,139.0,187.0,48.0
EXD1,0.0,0.0,0.0
EXD2,11.0,7.0,2.0
EXD3,4.0,8.0,1.0
EXO1,0.0,0.0,1.0
EXO5,7.0,8.0,1.0
EXOC1,22.0,25.0,11.0
EXOC2,18.0,11.0,5.0
EXOC3,49.0,51.0,29.0
EXOC3L1,0.0,44.0,0.0
EXOC3L2,0.0,78.0,0.0
EXOC3L4,2.0,0.0,0.0
EXOC4,28.0,33.0,14.0
EXOC5,56.0,56.0,8.0
EXOC6,3.0,6.0,4.0
EXOC6B,17.0,16.0,4.0
EXOC7,36.0,49.0,19.0
EXOC8,11.0,13.0,5.0
EXOG,15.0,8.0,2.0
EXOSC1,29.0,31.0,7.0
EXOSC10,33.0,29.0,13.0
EXOSC2,9.0,5.0,2.0
EXOSC3,28.0,16.0,3.0
EXOSC4,39.0,34.0,10.0
EXOSC5,44.0,30.0,3.0
EXOSC6,29.0,27.0,5.0
EXOSC7,38.0,29.0,6.0
EXOSC8,29.0,33.0,11.0
EXOSC9,6.0,7.0,4.0
EXPH5,1.0,5.0,1.0
EXT1,132.0,41.0,7.0
EXT2,60.0,53.0,12.0
EXTL1,1.0,0.0,0.0
EXTL2,18.0,10.0,2.0
EXTL3,45.0,65.0,17.0
EYA1,0.0,0.0,0.0
EYA2,1.0,0.0,3.0
EYA3,13.0,21.0,7.0
EYA4,0.0,0.0,0.0
EYS,0.0,0.0,0.0
EZH1,13.0,18.0,5.0
EZH2,3.0,11.0,7.0
EZR,17.0,20.0,36.0
F10,13.0,4.0,5.0
F11,2.0,0.0,1.0
F11R,5.0,103.0,16.0
F12,6.0,4.0,2.0
F13A1,0.0,0.0,2.0
F13B,0.0,0.0,0.0
F2,0.0,0.0,0.0
F2R,183.0,114.0,1.0
F2RL1,21.0,8.0,0.0
F2RL2,32.0,2.0,0.0
F2RL3,3.0,26.0,0.0
F3,235.0,61.0,2.0
F5,10.0,0.0,0.0
F7,0.0,0.0,0.0
F8,0.0,15.0,2.0
F8A1,30.0,22.0,7.0
F8A2,5.0,3.0,2.0
F8A3,4.0,2.0,1.0
F9,0.0,0.0,0.0
FA2H,1.0,0.0,0.0
FAAH,2.0,2.0,1.0
FAAH2,3.0,0.0,0.0
FAAP100,45.0,27.0,4.0
FAAP20,94.0,59.0,12.0
FAAP24,3.0,4.0,3.0
FABP1,0.0,0.0,0.0
FABP12,0.0,0.0,0.0
FABP2,0.0,0.0,0.0
FABP3,0.0,0.0,0.0
FABP4,92.0,71.0,24.0
FABP5,64.0,1178.0,100.0
FABP6,0.0,0.0,0.0
FABP7,0.0,0.0,0.0
FABP9,0.0,0.0,0.0
FADD,51.0,48.0,9.0
FADS1,211.0,85.0,46.0
FADS2,239.0,33.0,29.0
FADS3,37.0,14.0,6.0
FADS6,0.0,0.0,0.0
FAF1,36.0,41.0,11.0
FAF2,52.0,38.0,21.0
FAH,25.0,8.0,16.0
FAHD1,6.0,8.0,5.0
FAHD2A,20.0,14.0,3.0
FAHD2B,24.0,16.0,2.0
FAHD2CP,1.0,1.0,0.0
FAIM,4.0,12.0,1.0
FAIM2,13.0,0.0,5.0
FAM101A,0.0,1.0,0.0
FAM101B,89.0,329.0,10.0
FAM102A,23.0,47.0,29.0
FAM102B,13.0,6.0,4.0
FAM103A1,27.0,23.0,7.0
FAM104A,37.0,48.0,16.0
FAM104B,23.0,17.0,1.0
FAM105A,8.0,4.0,13.0
FAM106A,0.0,0.0,0.0
FAM107A,1.0,2.0,1.0
FAM107B,105.0,169.0,49.0
FAM109A,1.0,5.0,0.0
FAM109B,48.0,21.0,4.0
FAM110A,3.0,23.0,30.0
FAM110B,16.0,2.0,0.0
FAM110C,5.0,2.0,1.0
FAM110D,1.0,35.0,0.0
FAM111A,0.0,0.0,1.0
FAM111B,0.0,0.0,1.0
FAM114A1,183.0,60.0,3.0
FAM114A2,22.0,33.0,5.0
FAM117A,15.0,8.0,14.0
FAM117B,9.0,7.0,0.0
FAM118A,9.0,13.0,3.0
FAM118B,29.0,28.0,6.0
FAM120A,255.0,172.0,70.0
FAM120AOS,28.0,26.0,11.0
FAM120B,25.0,19.0,5.0
FAM120C,8.0,9.0,4.0
FAM122A,38.0,29.0,7.0
FAM122B,17.0,11.0,5.0
FAM122C,6.0,1.0,0.0
FAM124A,9.0,6.0,0.0
FAM124B,0.0,6.0,1.0
FAM126A,56.0,13.0,9.0
FAM126B,29.0,15.0,15.0
FAM127A,258.0,104.0,26.0
FAM127B,121.0,82.0,19.0
FAM127C,71.0,34.0,6.0
FAM129A,26.0,50.0,14.0
FAM129B,303.0,344.0,47.0
FAM129C,0.0,0.0,0.0
FAM131A,47.0,28.0,10.0
FAM131B,3.0,0.0,0.0
FAM131C,3.0,2.0,1.0
FAM132A,0.0,9.0,1.0
FAM132B,10.0,5.0,0.0
FAM133A,0.0,0.0,0.0
FAM133B,37.0,29.0,20.0
FAM134A,81.0,68.0,26.0
FAM134B,1.0,1.0,3.0
FAM134C,71.0,65.0,31.0
FAM135A,8.0,10.0,6.0
FAM135B,0.0,0.0,0.0
FAM136A,32.0,28.0,14.0
FAM138A,0.0,0.0,0.0
FAM138B,0.0,0.0,0.0
FAM138C,0.0,0.0,0.0
FAM138D,0.0,0.0,0.0
FAM138E,0.0,0.0,0.0
FAM13A,28.0,6.0,5.0
FAM13B,11.0,14.0,7.0
FAM13C,10.0,1.0,0.0
FAM149A,5.0,4.0,3.0
FAM149B1,5.0,7.0,2.0
FAM150A,0.0,0.0,0.0
FAM150B,327.0,27.0,0.0
FAM151A,0.0,0.0,0.0
FAM151B,0.0,0.0,0.0
FAM153A,0.0,1.0,0.0
FAM153B,11.0,6.0,4.0
FAM153C,0.0,0.0,0.0
FAM155A,1.0,2.0,2.0
FAM155A.IT1,1.0,0.0,0.0
FAM155B,1.0,1.0,0.0
FAM156A,0.0,0.0,1.0
FAM156B,0.0,0.0,0.0
FAM157C,0.0,0.0,0.0
FAM159A,0.0,0.0,0.0
FAM159B,2.0,8.0,1.0
FAM160A1,0.0,0.0,0.0
FAM160A2,21.0,24.0,0.0
FAM160B1,19.0,52.0,9.0
FAM160B2,29.0,31.0,6.0
FAM161A,8.0,2.0,0.0
FAM161B,2.0,2.0,0.0
FAM162A,163.0,67.0,44.0
FAM162B,11.0,1.0,0.0
FAM163A,0.0,7.0,0.0
FAM163B,0.0,0.0,0.0
FAM166A,3.0,0.0,0.0
FAM166B,0.0,1.0,0.0
FAM167A,3.0,0.0,6.0
FAM167B,2.0,127.0,0.0
FAM168A,50.0,17.0,4.0
FAM168B,92.0,69.0,32.0
FAM169A,1.0,2.0,1.0
FAM169B,0.0,0.0,0.0
FAM170A,0.0,0.0,0.0
FAM170B,0.0,0.0,0.0
FAM171A1,14.0,36.0,1.0
FAM171A2,19.0,22.0,0.0
FAM171B,5.0,24.0,1.0
FAM172A,25.0,14.0,3.0
FAM173A,52.0,27.0,12.0
FAM173B,9.0,7.0,2.0
FAM174A,55.0,52.0,13.0
FAM174B,12.0,45.0,21.0
FAM175A,3.0,4.0,3.0
FAM175B,16.0,26.0,4.0
FAM177A1,57.0,127.0,16.0
FAM177B,0.0,0.0,0.0
FAM178B,0.0,0.0,1.0
FAM179A,0.0,1.0,2.0
FAM179B,19.0,13.0,1.0
FAM180A,16.0,0.0,1.0
FAM180B,0.0,0.0,0.0
FAM181A,0.0,0.0,0.0
FAM181B,4.0,2.0,1.0
FAM182A,0.0,0.0,0.0
FAM182B,0.0,0.0,0.0
FAM183A,0.0,1.0,0.0
FAM183B,0.0,1.0,0.0
FAM183CP,0.0,0.0,0.0
FAM184A,0.0,2.0,0.0
FAM184B,0.0,0.0,0.0
FAM185A,4.0,0.0,1.0
FAM186A,0.0,0.0,0.0
FAM186B,0.0,1.0,0.0
FAM187A,2.0,0.0,0.0
FAM187B,0.0,0.0,0.0
FAM188A,23.0,21.0,1.0
FAM188B,0.0,0.0,0.0
FAM189A1,0.0,0.0,0.0
FAM189A2,0.0,0.0,0.0
FAM189B,15.0,12.0,2.0
FAM192A,60.0,52.0,19.0
FAM193A,17.0,32.0,23.0
FAM193B,12.0,13.0,4.0
FAM195A,18.0,18.0,23.0
FAM195B,122.0,108.0,19.0
FAM196A,0.0,0.0,1.0
FAM196B,0.0,0.0,0.0
FAM197Y2,0.0,0.0,0.0
FAM197Y3,0.0,0.0,0.0
FAM197Y4,0.0,0.0,0.0
FAM197Y5,0.0,0.0,0.0
FAM197Y6,0.0,0.0,0.0
FAM197Y7,0.0,0.0,0.0
FAM197Y8,0.0,0.0,0.0
FAM197Y9,0.0,0.0,0.0
FAM198A,0.0,0.0,0.0
FAM198B,41.0,211.0,10.0
FAM199X,18.0,20.0,5.0
FAM19A1,1.0,0.0,0.0
FAM19A2,2.0,2.0,2.0
FAM19A3,2.0,0.0,0.0
FAM19A4,0.0,0.0,0.0
FAM19A5,7.0,4.0,0.0
FAM200A,0.0,1.0,0.0
FAM200B,19.0,18.0,10.0
FAM201A,0.0,0.0,0.0
FAM204A,60.0,39.0,20.0
FAM205A,0.0,0.0,0.0
FAM205BP,0.0,0.0,0.0
FAM206A,11.0,11.0,4.0
FAM207A,55.0,30.0,9.0
FAM208A,42.0,53.0,8.0
FAM208B,26.0,13.0,3.0
FAM209A,0.0,0.0,0.0
FAM209B,0.0,0.0,0.0
FAM20A,3.0,1.0,1.0
FAM20B,40.0,47.0,5.0
FAM20C,259.0,20.0,162.0
FAM210A,19.0,14.0,7.0
FAM210B,92.0,87.0,22.0
FAM212A,9.0,46.0,1.0
FAM212B,14.0,5.0,3.0
FAM213A,69.0,123.0,19.0
FAM213B,1.0,14.0,2.0
FAM214A,6.0,15.0,4.0
FAM214B,38.0,37.0,11.0
FAM215B,3.0,0.0,1.0
FAM216A,13.0,8.0,1.0
FAM216B,0.0,0.0,0.0
FAM217A,0.0,1.0,0.0
FAM217B,20.0,18.0,10.0
FAM218A,0.0,0.0,0.0
FAM219A,36.0,72.0,7.0
FAM219B,41.0,38.0,13.0
FAM21A,21.0,23.0,4.0
FAM21C,10.0,23.0,13.0
FAM21EP,3.0,2.0,0.0
FAM220A,19.0,5.0,7.0
FAM221A,3.0,4.0,3.0
FAM221B,0.0,0.0,0.0
FAM222A,6.0,3.0,1.0
FAM222B,25.0,44.0,11.0
FAM224A,0.0,0.0,0.0
FAM224B,0.0,0.0,0.0
FAM225A,2.0,0.0,0.0
FAM225B,0.0,3.0,0.0
FAM227B,0.0,2.0,0.0
FAM228A,2.0,0.0,0.0
FAM228B,6.0,3.0,5.0
FAM229A,1.0,2.0,1.0
FAM229B,15.0,18.0,1.0
FAM230A,0.0,0.0,0.0
FAM230C,0.0,0.0,0.0
FAM231A,0.0,0.0,0.0
FAM231C,0.0,0.0,0.0
FAM231D,0.0,0.0,0.0
FAM24B,2.0,4.0,2.0
FAM25A,0.0,0.0,0.0
FAM25BP,0.0,0.0,0.0
FAM25C,0.0,0.0,0.0
FAM25G,0.0,0.0,0.0
FAM26D,0.0,0.0,0.0
FAM26E,10.0,1.0,0.0
FAM27C,32.0,13.0,3.0
FAM27E3,5.0,1.0,0.0
FAM27L,0.0,0.0,0.0
FAM32A,107.0,137.0,27.0
FAM35A,43.0,21.0,10.0
FAM3A,31.0,23.0,11.0
FAM3B,1.0,5.0,0.0
FAM3C,143.0,83.0,15.0
FAM3D,0.0,1.0,0.0
FAM41C,2.0,2.0,1.0
FAM43A,63.0,482.0,13.0
FAM43B,6.0,0.0,0.0
FAM45A,50.0,41.0,20.0
FAM46A,61.0,8.0,14.0
FAM46B,0.0,0.0,1.0
FAM46C,3.0,4.0,9.0
FAM46D,0.0,0.0,0.0
FAM47A,0.0,0.0,0.0
FAM47B,0.0,0.0,0.0
FAM47C,0.0,0.0,0.0
FAM47E,2.0,3.0,1.0
FAM47E.STBD1,11.0,26.0,11.0
FAM49A,6.0,12.0,17.0
FAM49B,15.0,41.0,89.0
FAM50A,87.0,48.0,30.0
FAM50B,7.0,11.0,1.0
FAM53A,0.0,0.0,1.0
FAM53B,16.0,24.0,16.0
FAM53C,84.0,41.0,41.0
FAM57A,47.0,44.0,5.0
FAM57B,1.0,1.0,2.0
FAM58A,31.0,41.0,11.0
FAM60A,38.0,76.0,22.0
FAM63A,2.0,1.0,0.0
FAM63B,31.0,44.0,4.0
FAM64A,1.0,0.0,0.0
FAM65A,120.0,264.0,40.0
FAM65B,2.0,0.0,0.0
FAM65C,4.0,4.0,0.0
FAM66A,2.0,0.0,0.0
FAM66B,0.0,0.0,0.0
FAM66C,2.0,2.0,2.0
FAM66E,0.0,0.0,0.0
FAM69A,5.0,6.0,1.0
FAM69B,3.0,58.0,1.0
FAM69C,0.0,0.0,0.0
FAM71A,0.0,1.0,0.0
FAM71B,0.0,0.0,0.0
FAM71C,0.0,0.0,0.0
FAM71D,1.0,1.0,0.0
FAM71E1,0.0,2.0,0.0
FAM71E2,0.0,0.0,0.0
FAM71F1,0.0,0.0,0.0
FAM71F2,1.0,1.0,0.0
FAM72A,0.0,0.0,0.0
FAM72B,0.0,0.0,0.0
FAM72C,0.0,0.0,0.0
FAM72D,0.0,0.0,0.0
FAM73A,15.0,25.0,3.0
FAM73B,11.0,6.0,4.0
FAM74A1,0.0,0.0,0.0
FAM74A4,0.0,0.0,0.0
FAM74A6,0.0,0.0,0.0
FAM76A,10.0,8.0,6.0
FAM76B,13.0,18.0,6.0
FAM78A,0.0,5.0,12.0
FAM78B,0.0,1.0,0.0
FAM81A,0.0,1.0,0.0
FAM81B,0.0,0.0,0.0
FAM83A,0.0,0.0,0.0
FAM83B,0.0,0.0,1.0
FAM83C,0.0,0.0,0.0
FAM83D,0.0,1.0,0.0
FAM83E,0.0,0.0,0.0
FAM83F,3.0,3.0,3.0
FAM83G,0.0,0.0,0.0
FAM83H,4.0,1.0,3.0
FAM84A,11.0,6.0,0.0
FAM84B,2.0,11.0,2.0
FAM86B1,2.0,1.0,0.0
FAM86B2,0.0,0.0,0.0
FAM86B3P,2.0,0.0,0.0
FAM86C1,5.0,9.0,1.0
FAM86C2P,2.0,2.0,0.0
FAM86DP,6.0,3.0,0.0
FAM86EP,3.0,12.0,1.0
FAM86HP,1.0,1.0,0.0
FAM86JP,1.0,0.0,0.0
FAM87A,0.0,0.0,0.0
FAM87B,1.0,0.0,0.0
FAM89A,13.0,18.0,4.0
FAM89B,209.0,194.0,54.0
