,UCSC_RefGene_Name
cg03847636,GRPEL1
cg03848145,C1orf52
cg03848555,C9orf40
cg03848675,FOXF2
cg03852144,GLRX
cg03852570,PYROXD2
cg03853151,OAT
cg03853987,CHST10
cg03854071,NDUFA13
cg03856723,PRKACA
cg03856801,APOA1
cg03860051,IKZF5
cg03860051,ACADSB
cg03860400,BTBD10
cg03860768,BLK
cg03860890,EGFR
cg03861428,SDHB
cg03862540,PPP4R1
cg03862760,PSMG3
cg03863149,ZNF644
cg03863549,NOL6
cg03870261,LMNB2
cg03870261,TIMM13
cg03870862,ZC3H3
cg03872267,MRPL46
cg03872267,MRPS11
cg03877802,PPP5C
cg03878377,RSL24D1
cg03879902,GIPR
cg03883348,KLC3
cg03884783,ZNF569
cg03887534,BCL2L13
cg03887787,CTSW
cg03894103,PREPL
cg03897136,HOOK1
cg03902905,SLC3A1
cg03905094,DEPDC1B
cg03907174,RCN3
cg03907363,KLK1
cg03907454,KIF2C
cg03910901,COPS6
cg03912013,SACM1L
cg03913271,MICALL1
cg03914397,NMUR2
cg03914452,RBM33
cg03916421,SCLT1
cg03916421,C4orf33
cg03918304,HOXD10
cg03920233,DOC2A
cg03922337,RRAS2
cg03923277,TDG
cg03923464,OGFOD2
cg03923464,ABCB9
cg03925809,GTF2F1
cg03928182,PTPRR
cg03929796,ALAS1
cg03930357,MBTPS1
cg03930474,ING4
cg03930970,ZDHHC4
cg03934354,C1QTNF3
cg03939688,KLF4
cg03940966,THEM4
cg03942271,AUH
cg03943081,TCERG1L
cg03943509,PYGM
cg03944089,SGK1
cg03945800,ADCY9
cg03947362,C2orf47
cg03950009,STX17
cg03950654,ARRB2
cg03950669,TIMM8B
cg03950669,SDHD
cg03952109,FAM172A
cg03954587,UBB
cg03954858,FAM83F
cg03955296,ETV3
cg03956267,SMPD4
cg03958426,MAPKAPK2
cg03959219,TSPYL4
cg03962522,SLC5A1
cg03963654,SCOC
cg03966541,PGGT1B
cg03969906,HIST1H4A
cg03970351,TERF2
cg03973663,LYN
cg03975694,ZNF540
cg03977782,SIDT1
cg03979162,BCAS3
cg03980304,IL4R
cg03984733,HDHD3
cg03985136,ULBP2
cg03986968,AVEN
cg03989322,SLC30A5
cg03989569,MEF2D
cg03990551,BBS7
cg03991512,LDHD
cg03992069,ZMYM3
cg03992069,BCYRN1
cg03992230,HNRNPH1
cg03993463,KCNJ15
cg03996465,SUGT1
cg03996822,RASSF6
cg03998173,RHEB
cg03999420,MYCBP2
cg04001333,FLVCR2
cg04001802,OLAH
cg04005032,OSBPL10
cg04005032,ZNF860
cg04005701,RPA1
cg04005701,SMYD4
cg04005707,CWH43
cg04005725,KLHDC8B
cg04006554,ENPP5
cg04007936,CARHSP1
cg04008901,CACNA2D1
cg04008913,SNRK
cg04011872,MRPL23
cg04017769,TACC1
cg04021421,FANCC
cg04025889,AHCY
cg04026012,SYNCRIP
cg04030848,GAL3ST1
cg04032566,NSUN3
cg04032566,DHFRL1
cg04032871,QPCTL
cg04032871,SNRPD2
cg04034767,GRASP
cg04036714,NAPEPLD
cg04036898,POMGNT1
cg04037228,LIMD1
cg04039397,CD96
cg04041960,RGS10
cg04042106,MUS81
cg04044561,POP7
cg04048259,EDN3
cg04049033,RILP
cg04051458,THBS1
cg04053638,SUCLG1
cg04055049,GPR153
cg04057053,WNT2B
cg04057106,KIF24
cg04057485,PTGIR
cg04058169,BUB3
cg04058675,HUWE1
cg04059714,TCTN2
cg04059863,ILDR1
cg04060163,SEC14L1
cg04060275,DUSP1
cg04062907,ANAPC7
cg04065065,PIGO
cg04066242,BFAR
cg04070847,CD200R1
cg04076481,KRI1
cg04078251,KIF22
cg04080057,CACNG6
cg04081402,TCN2
cg04084157,VGF
cg04084172,CCNG1
cg04086834,SMAP1
cg04089739,C3
cg04095468,SECISBP2
cg04099420,RIPK1
cg04099673,WDR7
cg04106190,WNT16
cg04106785,CDK5R1
cg04109220,SPAG8
cg04109382,TP53TG5
cg04111761,CCR3
cg04112431,PWP1
cg04113075,RAB32
cg04114315,CKAP5
cg04117029,BCCIP
cg04117029,UROS
cg04117338,CRADD
cg04118884,TMEM198
cg04118884,CHPF
cg04119538,TOP1
cg04121771,TM4SF4
cg04121983,CASKIN2
cg04123507,KRT86
cg04126335,ITGA10
cg04126816,CCDC106
cg04127303,ZZZ3
cg04134624,CBX6
cg04134859,DNAJC30
cg04134859,WBSCR22
cg04137037,TEF
cg04137116,EID2
cg04138756,SPRR3
cg04140754,ATP6V0A2
cg04141379,SPATA6
cg04145477,RTN4IP1
cg04145477,QRSL1
cg04149472,NAT1
cg04154812,CALCOCO2
cg04155793,CDK10
cg04156850,GRB2
cg04167054,ATP2C1
cg04169469,ODC1
cg04172043,RELA
cg04180868,PRTFDC1
cg04182865,RNF14
cg04183425,ASF1A
cg04183933,HSPD1
cg04183933,HSPE1
cg04185893,PTBP2
cg04187545,RPS20
cg04189838,CYP2C19
cg04195127,WFDC1
cg04195527,INSIG2
cg04197051,PIGM
cg04197135,EIF1AD
cg04197135,BANF1
cg04197195,CCDC71
cg04198824,USPL1
cg04200765,NPTN
cg04201347,PRRG2
cg04206644,INTS6
cg04215480,ZNF573
cg04216597,CACNA1G
cg04217178,ITM2B
cg04219321,HLF
cg04223442,NCOR1
cg04223844,IKBKB
cg04223956,NEK7
cg04228042,ART4
cg04228553,CAPN7
cg04228628,TNKS
cg04229238,RB1CC1
cg04230060,SUSD1
cg04230869,RRM2B
cg04233664,CTBP2
cg04235146,ATP2A2
cg04238548,TBC1D8B
cg04240200,ATRN
cg04244987,NCKIPSD
cg04249030,COX5A
cg04249586,ELOVL6
cg04251363,ST3GAL6
cg04251662,ITPR1
cg04254119,AKAP3
cg04254916,KRT5
cg04255048,KIF9
cg04255048,KLHL18
cg04256470,CORT
cg04256470,APITD1
cg04259560,MFSD6L
cg04262565,DUSP7
cg04265576,HOXA6
cg04268405,CHST3
cg04270274,CNOT1
cg04270799,KIF5A
cg04273431,GNL1
cg04273431,PRR3
cg04274487,RAB31
cg04275881,SLAMF8
cg04275985,FAM63A
cg04275985,PRUNE
cg04278905,KAT2A
cg04280119,TAF6
cg04280119,CNPY4
cg04280397,PLA2G6
cg04280480,PPARA
cg04280758,MAML2
cg04281268,WDR20
cg04281268,HSP90AA1
cg04283377,ARAF
cg04283938,SEPT3
cg04284814,HDAC3
cg04286043,PXT1
cg04286043,KCTD20
cg04289385,ETV7
cg04291079,MEG3
cg04301614,C4orf19
cg04303269,CEP57
cg04303269,FAM76B
cg04304927,SLC39A8
cg04305134,ANXA7
cg04305913,GPSM1
cg04310489,AHCYL1
cg04310824,SCP2
cg04311964,LYPD2
cg04313552,KIAA2013
cg04314463,PNKP
cg04315264,RPL10A
cg04315771,NUP62
cg04315771,IL4I1
cg04315771,ATF5
cg04316770,SGSM3
cg04317366,PRPF8
cg04317399,HOXA4
cg04317543,LMNA
cg04322344,MRPL3
cg04322978,ETFB
cg04323187,CCDC24
cg04323365,GJB1
cg04324308,COL4A3
cg04324308,COL4A4
cg04325632,ADRA2C
cg04326040,VPS53
cg04329069,AP1B1
cg04330084,IQUB
cg04333463,ASPH
cg04335339,ATRNL1
cg04337944,FBLN1
cg04338788,SEMA3G
cg04339860,WWP2
cg04341806,LCP1
cg04344997,EMD
cg04347447,CACNA2D2
cg04348872,ADCY3
cg04349311,TXNDC12
cg04349311,BTF3L4
cg04349727,KLK5
cg04350610,BTAF1
cg04350646,MRPL32
cg04350646,PSMA2
cg04355435,TMEM125
cg04359302,MRPL47
cg04359302,NDUFB5
cg04361527,PMVK
cg04362655,GLRX5
cg04362655,SNHG10
cg04366367,GPS1
cg04366367,RFNG
cg04367351,PLA2R1
cg04368716,BAG5
cg04368877,FBXL19
cg04368919,EFNB1
cg04369341,TOX2
cg04375683,PPP2R1A
cg04380513,ST8SIA4
cg04383012,PSMD1
cg04383274,DNAJC28
cg04386405,ZNF83
cg04387658,CD86
cg04388983,P2RY2
cg04389838,ZNF501
cg04391540,ZNF541
cg04391736,COG8
cg04391736,NIP7
cg04397441,OGT
cg04398978,CBX4
cg04401436,SLC38A9
cg04402021,POLR2E
cg04402875,RET
cg04404982,ITGAL
cg04409427,KCNE2
cg04410862,E2F7
cg04411625,CRIP1
cg04413986,NACA
cg04415689,ANO7
cg04416752,ST6GALNAC4
cg04418492,CYP7B1
cg04418752,PAICS
cg04418752,PPAT
cg04418771,COPS4
cg04419707,RPL3
cg04420907,STX8
cg04425624,TNF
cg04428853,TMEM110
cg04429140,RUNDC1
cg04431133,RPL36AL
cg04431133,MGAT2
cg04432009,LYL1
cg04433306,UBE2H
cg04434339,ST6GAL2
cg04436474,RBM6
cg04438497,MTL5
cg04443324,FAT2
cg04444006,ARFGAP2
cg04444771,C10orf10
cg04444771,RASSF4
cg04446579,ANKRD45
cg04447123,RHOBTB2
cg04451988,FAM171A1
cg04452713,DST
cg04453065,CYR61
cg04454259,CBR3
cg04454391,NDUFAB1
cg04455064,TUFM
cg04458139,OTUD6B
cg04460372,ST6GALNAC6
cg04461705,PFN4
cg04462209,KLHL12
cg04463638,CLDN5
cg04464446,GAL
cg04464465,CDK2AP1
cg04464559,PDSS2
cg04466253,ACBD5
cg04466273,TBK1
cg04467034,ANKRD10
cg04469303,PRDM15
cg04469686,HSD17B7
cg04471507,STMN1
cg04474832,ABHD14B
cg04474832,ABHD14A
cg04478795,SMO
cg04480914,PPP2R5B
cg04481779,IL20RA
cg04482110,TMEM106A
cg04483754,NOS2
cg04485075,KLHL17
cg04485075,NOC2L
cg04485603,CLOCK
cg04486568,ETS2
cg04488521,ZNF354C
cg04488527,KLHL34
cg04490516,MLST8
cg04493740,SLC25A14
cg04495969,FBXO11
cg04496615,PPP3R1
cg04497885,GSK3A
cg04498032,CLK2
cg04498511,ZC3H11A
cg04498679,C2
cg04498739,PDK4
cg04499325,EPDR1
cg04499381,SASH3
cg04502814,SEPP1
cg04504095,FOXC1
cg04505023,SPRR1A
cg04506628,SNRPC
cg04508286,SEPT7
cg04508649,MTOR
cg04510262,PTPN2
cg04511195,FZR1
cg04511534,GGT6
cg04513669,SH3GLB1
cg04514981,INO80C
cg04515001,KAAG1
cg04515001,DCDC2
cg04517429,DCHS2
cg04518106,RPL26
cg04518808,PRKCG
cg04523589,CAMP
cg04525496,VCAN
cg04525773,DBF4
cg04525773,SLC25A40
cg04527918,UCN
cg04527989,PTCD2
cg04527989,MRPS27
cg04528819,KLF14
cg04529955,SLC10A7
cg04531254,TMEM136
cg04532229,SLC9A2
cg04532952,CA4
cg04533291,CIAO1
cg04533291,TMEM127
cg04533591,RPL39
cg04536922,FAM13A
cg04536998,CUL4A
cg04536998,PCID2
cg04541078,ARCN1
cg04542415,ZFP64
cg04543012,TFCP2
cg04544154,ELF4
cg04544498,MAGEE1
cg04545159,PIR
cg04545516,SEMG1
cg04548841,CNIH4
cg04551655,GPN1
cg04551655,CCDC121
cg04553559,ZNF703
cg04555836,MYO6
cg04556854,BBS12
cg04558553,UGT2B7
cg04558861,LIN37
cg04559909,CXCL5
cg04563996,ARHGEF3
cg04563996,SPATA12
cg04564646,MOV10
cg04565661,SEMA5B
cg04567315,CLUL1
cg04569233,CX3CR1
cg04569804,CSF1R
cg04569804,PDGFRB
cg04572898,AEN
cg04574442,ALG8
cg04576021,HLA-DOB
cg04576855,SERTAD2
cg04577715,SPINK1
cg04578090,PROCA1
cg04581377,SLC35F2
cg04582295,SGCA
cg04582843,VAV2
cg04582938,UAP1L1
cg04585992,TRAPPC6B
cg04587829,FN3K
cg04587910,NHEJ1
cg04588079,HEBP1
cg04589975,C2orf42
cg04590978,CCNJ
cg04592706,ABCA4
cg04595372,CRISP2
cg04595835,WDFY3
cg04598744,LMBRD1
cg04601137,ADAMTSL5
cg04603031,CHRNA3
cg04603184,RNF182
cg04605667,SIAH2
cg04609640,BEST4
cg04613791,FKBP1A
cg04614339,CFHR3
cg04614380,SEMA3F
cg04616566,THSD4
cg04619381,PRR15
cg04619854,UBXN2A
cg04622802,FIBIN
cg04623168,NAA25
cg04623837,HCG9
cg04623955,DIO3
cg04629204,EXTL1
cg04631202,MAN1C1
cg04632683,PRPF31
cg04632683,TFPT
cg04636557,EXOC8
cg04640913,CDH22
cg04644624,TBC1D10A
cg04645049,ARL6IP5
cg04648087,TSC1
cg04648440,BRD3
cg04650786,OSTM1
cg04653021,DIRC2
cg04653308,CRAT
cg04653308,PPP2R4
cg04655481,RABGAP1
cg04658354,BRCA1
cg04659622,PNPLA4
cg04660234,DCAF10
cg04660410,VILL
cg04662451,RAD51
cg04663487,TFEC
cg04672450,SAMD11
cg04677163,CAV1
cg04677227,LOXL4
cg04680304,RRM1
cg04681849,PDGFRL
cg04682845,TMEM42
cg04683119,GUF1
cg04683240,HLX
cg04684516,SNCAIP
cg04686412,PSD2
cg04688368,KCNMA1
cg04689061,PKIA
cg04690289,ZDHHC3
cg04690289,EXOSC7
cg04691540,ABL2
cg04697562,STAG3
cg04697562,GPC2
cg04698187,LRRN2
cg04700814,HEXIM1
cg04702045,OPHN1
cg04702490,GALNT2
cg04703844,RPL7
cg04703844,RDH10
cg04706338,VTN
cg04710641,SKIV2L
cg04712892,NRAP
cg04718306,GADD45A
cg04718414,CDC16
cg04719491,HAS2
cg04722168,PAFAH2
cg04725234,TMEM38B
cg04730731,GEMIN5
cg04731384,DBNDD1
cg04732193,HSD11B1
cg04733388,UBA5
cg04733989,NAGA
cg04735237,TIMM17B
cg04735237,PQBP1
cg04735745,ZBED3
cg04736140,GPR161
cg04737319,DTD1
cg04739149,FILIP1L
cg04739485,MLXIP
cg04739570,PODXL2
cg04741821,TMX4
cg04745698,UPF2
cg04745805,STAT5B
cg04747510,MICA
cg04747863,PRPSAP2
cg04749104,STEAP3
cg04749372,INMT
cg04752565,SMAGP
cg04757243,C3orf36
cg04757428,STMN3
cg04759439,ERC2
cg04762346,S1PR2
cg04764624,RAB11FIP4
cg04765422,RAD18
cg04765929,TNFAIP8L1
cg04770504,DFNA5
cg04779191,CHTF8
cg04779191,CIRH1A
cg04780126,POLA2
cg04780454,SERPINF2
cg04780629,RNF43
cg04783231,ZFP28
cg04785227,CHRNA7
cg04786857,SPDYA
cg04790129,ITGB2
cg04790829,TSKU
cg04790936,SH3BP1
cg04794268,KIFC2
cg04794268,CYHR1
cg04794505,PBX3
cg04794887,LETM1
cg04794901,TCP1
cg04796162,IGFBP3
cg04797496,PCDH12
cg04798796,GLUD1
cg04798796,FAM35A
cg04799664,NLRC5
cg04801003,ANTXR1
cg04802801,PPP1R11
cg04803153,ZNF790
cg04805109,CSPG5
cg04806409,TFF3
cg04808672,SMURF2
cg04809787,CHRNB1
cg04815626,MSRA
cg04818845,PLEKHG5
cg04820387,PCMTD2
cg04824341,PAAF1
cg04824716,CCHCR1
cg04824716,TCF19
cg04825431,ZNF239
cg04826883,CA12
cg04828792,MX2
cg04828892,PPM1J
cg04833050,LHFPL2
cg04833152,WRN
cg04833845,KCNN4
cg04834572,DUSP13
cg04836038,DOCK9
cg04836428,DTNA
cg04838107,ARF6
cg04848452,EIF1B
cg04849025,YIPF2
cg04849025,C19orf52
cg04853958,NAP1L4
cg04856043,HS1BP3
cg04856203,DMXL1
cg04856685,MAP4
cg04856858,AGAP1
cg04861271,PABPN1
cg04862249,ZFP3
cg04863713,ADAMTSL4
cg04868764,SPINT1
cg04872689,PLEK
cg04878152,AGTR1
cg04878727,ZKSCAN3
cg04878842,ERCC2
cg04879235,PPY
cg04879696,SPG7
cg04880063,SFXN3
cg04880063,PDZD7
cg04880762,VAMP1
cg04882759,MYOCD
cg04882894,IGSF1
cg04884122,PSMB5
cg04884908,CYP26B1
cg04886198,ALG3
cg04886198,ECE2
cg04887278,PGM3
cg04887278,RWDD2A
cg04891836,TNFSF14
cg04893119,PI15
cg04898797,MAP4K2
cg04905829,CYP27B1
cg04912050,IDUA
cg04912050,SLC26A1
cg04914105,PTPN9
cg04914305,MRPL34
cg04915182,RASGEF1C
cg04915566,RUNX1
cg04916200,RIC8B
cg04916311,PQLC3
cg04916911,NTS
cg04920616,FOXP3
cg04922020,FAM127A
cg04922833,ZNF503
cg04924696,CXorf58
cg04924696,APOO
cg04927982,KDM5C
cg04929736,CLU
cg04929865,BGN
cg04936062,THRAP3
cg04936930,PTS
cg04940515,RABGGTB
cg04941721,EREG
cg04943986,NR2F2
cg04946916,HUS1B
cg04946916,EXOC2
cg04950789,E2F5
cg04956511,PTPN6
cg04956790,CAND1
cg04959837,PLSCR4
cg04960271,PARP1
cg04960652,BNIP1
cg04960951,SUV420H2
cg04961553,OCIAD2
cg04964702,CBL
cg04968426,PPP1R14D
cg04969878,TMEM19
cg04970117,SLC6A20
cg04970994,BCS1L
cg04972545,RFX3
cg04975920,TSPAN1
cg04979725,UNKL
cg04981414,POMT1
cg04982748,HELB
cg04984200,CTSD
cg04985144,SPTBN2
cg04985146,MRPL12
cg04988978,MPO
cg04991214,PFDN2
cg04991214,NIT1
cg04991337,MCCC1
cg04992673,HEPACAM2
cg04994456,RNF186
cg04995717,TEK
cg04998282,NOL11
cg04999036,TMEM87A
cg04999036,GANC
cg04999691,LRRC61
cg05001145,ELL2
cg05004940,C20orf195
cg05008406,B4GALT4
cg05010058,CEP68
cg05010623,ACVR1C
cg05011232,ETV4
cg05012785,ZRSR2
cg05013695,FRAT1
cg05016508,FLRT1
cg05016953,SLC6A4
cg05018361,NSUN6
cg05019661,AP3M1
cg05019661,ADK
cg05022306,HOXC8
cg05024638,POLG
cg05026033,ELP3
cg05026186,ABLIM3
cg05027081,CDC7
cg05028306,LAP3
cg05032550,C14orf2
cg05037688,EGFL7
cg05038053,ACP2
cg05038121,FAH
cg05038209,MAP1LC3B
cg05038209,FBXO31
cg05039054,DMD
cg05040429,SAMD12
cg05040447,UQCRQ
cg05044994,LPP
cg05045383,RAE1
cg05045528,GPR107
cg05045781,FHL3
cg05046097,MMRN2
cg05046097,SNCG
cg05050341,ENG
cg05051316,TMED1
cg05052633,ADAP2
cg05056120,EBF1
cg05059825,HNRNPUL2
cg05059825,TTC9C
cg05060602,DCTD
cg05062178,ITGB5
cg05064673,PTPRU
cg05067286,TMEM45B
cg05067973,TRIB3
cg05070690,MOV10L1
cg05072008,FIGNL1
cg05073845,FOXO1
cg05076631,PGF
cg05078019,PDE6B
cg05079045,APBB1
cg05079794,IMPDH1
cg05086873,RIC8A
cg05086993,TAS1R1
cg05086993,NOL9
cg05087948,CTSF
cg05088512,DKKL1
cg05088512,TEAD2
cg05091653,SP100
cg05093686,NBEA
cg05098471,MEIS1
cg05098732,FOXA3
cg05098732,SYMPK
cg05101920,KCNJ10
cg05105069,TCEAL7
cg05105913,XYLT2
cg05106502,SKAP1
cg05107152,KLC4
cg05107152,MRPL2
cg05111110,PC
cg05111110,LRFN4
cg05111829,SUPV3L1
cg05112986,SUPT3H
cg05112986,RUNX2
cg05114625,CDC27
cg05116896,CD2BP2
cg05119831,PTPRN2
cg05120641,CHAC1
cg05120715,UGCG
cg05122605,MAEA
cg05125838,UCN2
cg05125838,COL7A1
cg05127380,STIP1
cg05129930,PFKL
cg05131524,ADAM22
cg05134796,ENOPH1
cg05135156,C1orf21
cg05135288,RHOT2
cg05135288,WDR90
cg05140736,SLC26A11
cg05140736,SGSH
cg05142115,GGCT
cg05142373,FZD1
cg05144089,TOMM20
cg05146762,GTF2IRD1
cg05149586,SDSL
cg05154390,MRPS15
cg05155595,ANXA4
cg05158538,PPARGC1A
cg05159732,HCRT
cg05163071,RETNLB
cg05163348,RPP30
cg05163588,LIMK1
cg05164634,WNT10B
cg05165580,ADAT1
cg05168404,SLC29A4
cg05170326,LPCAT3
cg05173789,RPLP0
cg05179880,PDCD7
cg05181565,SSU72
cg05185584,KCNJ11
cg05186188,AQP8
cg05189291,THG1L
cg05190718,CASQ2
cg05191792,WRNIP1
cg05193832,KCNJ1
cg05200311,DEK
cg05205664,UCP2
cg05208153,C9orf24
cg05208878,PRAME
cg05209463,MFSD10
cg05213296,RPF2
cg05217755,ERF
cg05225996,ZNF205
cg05227963,RFC5
cg05229898,EGR1
cg05232067,BNIP3L
cg05232889,FOXP2
cg05236037,ZNF202
cg05236474,C17orf59
cg05241571,KRTDAP
cg05243804,FECH
cg05243909,NTHL1
cg05245515,SLC39A2
cg05246522,KSR1
cg05249393,LDLR
cg05253159,SH2B2
cg05254049,SYN1
cg05254747,SLC39A14
cg05256043,DCT
cg05257479,WARS2
cg05257610,CEBPZ
cg05259765,CYTH4
cg05260966,SYN3
cg05260966,TIMP3
cg05261289,STARD7
cg05261824,ZNF165
cg05262335,TAGAP
cg05263682,RNGTT
cg05266460,RGL4
cg05270634,RND2
cg05275231,DCAF13
cg05275231,SLC25A32
cg05275605,COL18A1
cg05275752,GALM
cg05276137,SLC2A4RG
cg05279707,ADNP
cg05280555,CNOT10
cg05284724,TTC26
cg05286874,ABCA1
cg05288569,KLHL11
cg05289701,FGFR1OP2
cg05290904,RBBP5
cg05292376,AATK
cg05293407,TRIM27
cg05294095,PSMD8
cg05294243,KLK13
cg05294455,MYL4
cg05300132,EXD2
cg05301102,STX6
cg05306006,RPE
cg05306176,KDSR
cg05306735,ZNF273
cg05307923,ADARB2
cg05308617,ARMC8
cg05313261,MAPK3
cg05316065,GSDMC
cg05321960,KIAA0907
cg05322019,SEMA4G
cg05322222,TMEM151A
cg05323436,LAMB2
cg05325699,HAP1
cg05331214,SCN7A
cg05334239,C15orf57
cg05334253,NDEL1
cg05335315,JAG2
cg05337441,APOB
cg05338155,IFIT5
cg05338167,CALML4
cg05339305,CCDC85B
cg05339472,EIF1AX
cg05341115,HYAL4
cg05347567,ZC3H10
cg05348272,TBCD
cg05352541,PITPNB
cg05354432,LEF1
cg05357320,ZNF317
cg05358291,CYP4F2
cg05358404,RTEL1
cg05361373,PYCARD
cg05361811,UTP20
cg05362516,IRX5
cg05362669,PTPRG
cg05365670,LPCAT1
cg05366401,TM9SF1
cg05367858,RNF141
cg05368089,PFDN5
cg05368762,TMBIM6
cg05368942,RBM15
cg05369142,ALS2CL
cg05369166,NFASC
cg05373692,ZDHHC15
cg05376954,FPR1
cg05379350,GIT1
cg05380570,ARHGEF10L
cg05380982,KCNJ6
cg05382123,CSMD2
cg05382565,HMGXB3
cg05382565,TIGD6
cg05382730,PHB2
cg05382730,EMG1
cg05385377,TMEM51
cg05386606,BCL7B
cg05388361,STAT2
cg05389183,PPIC
cg05394497,DCAF17
cg05394497,METTL8
cg05395196,HSF2
cg05397738,PGRMC1
cg05399360,MICB
cg05399553,SNRPB
cg05401645,FAM134C
cg05401645,TUBG1
cg05402265,ICK
cg05403071,SNAI1
cg05404787,C2orf48
cg05406101,RWDD2B
cg05409038,TEX261
cg05409601,CCNG2
cg05411032,CLPTM1
cg05413282,PRSS3
cg05414225,IKBKAP
cg05419984,PIGX
cg05421555,AKAP13
cg05421673,NOG
cg05421688,FAM163A
cg05421946,ABHD6
cg05422352,COPS7B
cg05423257,ALPI
cg05428978,CDCA7
cg05432118,PRKAB1
cg05433460,ARHGAP1
cg05433460,ZNF408
cg05434957,ICA1
cg05435853,RNF41
cg05436231,CD164L2
cg05436658,PRKCB
cg05439318,CYB5B
cg05439368,TRIM69
cg05440218,KIAA0196
cg05440218,NSMCE2
cg05440289,IVL
cg05442902,P2RX6
cg05443740,KCNIP3
cg05449607,GTF3C6
cg05451974,SYS1
cg05454446,BMS1
cg05457411,DDX19A
cg05459203,NUDCD3
cg05463705,ZNF143
cg05467106,ZNF689
cg05467167,GOSR2
cg05468303,DGCR6
cg05469695,CDC42EP3
cg05471297,RYR1
cg05472874,SULT4A1
cg05473175,CADM4
cg05475277,FOXRED2
cg05475904,BCL10
cg05477027,DMWD
cg05482722,UTP14C
cg05483509,ATP6V0C
cg05484458,GNB3
cg05484920,SNRNP70
cg05485060,CTNNAL1
cg05486551,C20orf196
cg05488632,EPHX3
cg05492113,TUB
cg05492270,RNF121
cg05492605,PPP1R8
cg05492845,VEGFB
cg05494069,PRKAA2
cg05494459,FTSJ1
cg05497107,RUFY1
cg05497616,CAMK4
cg05498681,SRC
cg05499853,FAM188A
cg05500015,NAALAD2
cg05501357,HIPK3
cg05501584,ST8SIA2
cg05501721,CRTC1
cg05510041,VCL
cg05511685,RGS9
cg05511752,MED12
cg05512099,PLEKHF1
cg05516537,TFDP1
cg05516832,SGTA
cg05517572,STAP2
cg05522383,PITX2
cg05523085,MYO5A
cg05523254,MFN2
cg05526376,LMTK2
cg05529097,FXR2
cg05531055,TOM1
cg05538432,C1S
cg05546044,MAPK1
cg05546383,OTUD4
cg05547993,VAC14
cg05552534,ABCB10
cg05556020,REN
cg05556210,ZFHX3
cg05556717,CCL26
cg05562327,CPEB2
cg05562817,CLDND2
cg05564251,SP140
cg05565537,GALNT6
cg05566965,BID
cg05568762,LCORL
cg05570980,C3orf52
cg05573563,TRAPPC2
cg05573563,OFD1
cg05575043,ZNF394
cg05576974,TROVE2
cg05576974,UCHL5
cg05577173,PAPD4
cg05587736,NUP93
cg05590294,CD69
cg05590982,NUPR1
cg05592527,ARMCX6
cg05593479,TIGD1
cg05593479,EIF4E2
cg05593780,ACO2
cg05593780,PHF5A
cg05595345,ARRDC4
cg05596294,LPPR4
cg05600717,DHRS12
cg05602212,ZFYVE16
cg05602615,SETD3
cg05602615,CCNK
cg05604720,RIPK2
cg05606799,KISS1
cg05607127,KCNG3
cg05607472,CSNK1A1
cg05608188,TMEM168
cg05610379,NSMCE4A
cg05612904,DPH5
cg05624196,APOD
cg05628549,PRKCDBP
cg05637892,SCFD1
cg05641882,CXCL3
cg05641961,CIB1
cg05647526,CALU
cg05647859,LIN7A
cg05649009,CHRNA1
cg05650565,UBXN4
cg05655556,PSMD2
cg05656364,VAMP8
cg05657090,RNASEH2A
cg05658858,TUBGCP2
cg05658858,ZNF511
cg05659526,FCER1G
cg05659947,C4BPB
cg05660795,IGFBP1
cg05661333,GABBR1
cg05662500,GPD1L
cg05664072,PER2
cg05668720,TUBE1
cg05668853,RAB34
cg05669100,FAM103A1
cg05669210,SLC12A9
cg05670275,TRIP12
cg05670275,FBXO36
cg05670348,LARGE
cg05670596,CCRL2
cg05671350,P4HA3
cg05672265,SLC20A1
cg05673087,GEMIN8
cg05674944,SLC30A2
cg05677402,UBE2L6
cg05678938,USP13
cg05679521,MAP2K3
cg05680424,BPGM
cg05681757,FGD4
cg05688084,MRTO4
cg05689121,TNRC6A
cg05695927,SPATA5L1
cg05696092,NOSIP
cg05697231,PML
cg05697976,FAR2
cg05698069,PDLIM2
cg05698090,CERK
cg05699592,PRKAR2A
cg05702633,PPP1R15B
cg05702737,WNT10A
cg05702952,PDK1
cg05705366,SNX18
cg05705583,CAMLG
cg05706061,SLC31A2
cg05709923,SAMM50
cg05714219,GALNT14
cg05714479,LATS2
cg05714729,GALNT1
cg05715287,CDC40
cg05715287,WASF1
cg05715649,SYT2
cg05717160,USMG5
cg05717160,PDCD11
cg05720937,ACTR1B
cg05722552,NLGN1
cg05723825,TEKT4
cg05724065,PHKG1
cg05725452,SDF2L1
cg05728656,C6orf47
cg05730092,BEGAIN
cg05732130,GINS3
cg05732530,DUSP2
cg05739825,EI24
cg05740244,LDHC
cg05742308,SEMA3A
cg05743054,MLF1
cg05745851,CCDC62
cg05747424,WDR89
cg05749577,KIF23
cg05750321,CGNL1
cg05751979,TCEB1
cg05754589,HNRNPA1
cg05754589,CBX5
cg05755354,FRMD4A
cg05755779,COLEC10
cg05755837,PMPCB
cg05761032,CCPG1
cg05764061,PPM1B
cg05764376,LRRC49
cg05764376,THAP10
cg05766425,LUC7L3
cg05769161,B4GALNT3
cg05769169,EGLN3
cg05773628,NCKAP1
cg05774801,SFRP2
cg05776763,DLST
cg05777319,ARL6
