,immune,classic,endo,basal
ERICH1-AS1,0.0,0.0,0.0,0.0
ERICH2,0.0,19.0,0.0,2.0
ERLEC1,1454.0,2745.0,79.0,173.0
ERLIN1,489.0,803.0,28.0,127.0
ERLIN2,593.0,1114.0,26.0,111.0
ERMAP,384.0,168.0,16.0,13.0
ERMARD,275.0,210.0,13.0,17.0
ERMN,30.0,2.0,1.0,0.0
ERMP1,613.0,860.0,28.0,193.0
ERN1,1020.0,537.0,17.0,19.0
ERN2,27.0,1112.0,0.0,21.0
ERO1L,1634.0,3785.0,35.0,210.0
ERO1LB,176.0,100.0,14.0,11.0
ERP27,90.0,54.0,4.0,16.0
ERP29,4504.0,3539.0,118.0,224.0
ERP44,1244.0,822.0,41.0,80.0
ERRFI1,410.0,4848.0,20.0,582.0
ERV3-1,202.0,397.0,25.0,43.0
ERVFRD-1,0.0,0.0,1.0,0.0
ERVH48-1,5.0,1.0,0.0,0.0
ERVK13-1,179.0,81.0,3.0,4.0
ERVK3-1,410.0,216.0,26.0,23.0
ERVMER34-1,0.0,48.0,0.0,20.0
ERVW-1,8.0,4.0,0.0,2.0
ESAM,13.0,89.0,167.0,2.0
ESCO1,1205.0,1169.0,42.0,86.0
ESCO2,132.0,93.0,2.0,15.0
ESD,1270.0,1243.0,50.0,180.0
ESF1,890.0,1172.0,36.0,138.0
ESM1,22.0,8.0,38.0,0.0
ESPL1,127.0,70.0,4.0,13.0
ESPN,15.0,90.0,1.0,11.0
ESPNL,6.0,20.0,0.0,0.0
ESR1,113.0,4.0,2.0,1.0
ESR2,15.0,4.0,0.0,0.0
ESRP1,33.0,2619.0,1.0,226.0
ESRP2,15.0,623.0,1.0,71.0
ESRRA,807.0,954.0,17.0,89.0
ESRRB,0.0,0.0,0.0,0.0
ESRRG,2.0,41.0,2.0,1.0
ESYT1,2568.0,1105.0,71.0,80.0
ESYT2,1846.0,2088.0,63.0,137.0
ESYT3,6.0,48.0,0.0,0.0
ETAA1,310.0,371.0,20.0,41.0
ETF1,3479.0,2633.0,105.0,420.0
ETFA,1002.0,1199.0,44.0,89.0
ETFB,1166.0,1775.0,69.0,188.0
ETFDH,278.0,306.0,12.0,16.0
ETHE1,671.0,908.0,18.0,129.0
ETNK1,1519.0,1505.0,27.0,95.0
ETNK2,19.0,160.0,4.0,9.0
ETNPPL,4.0,5.0,2.0,1.0
ETS1,10302.0,1603.0,636.0,173.0
ETS2,2375.0,1134.0,263.0,217.0
ETV1,73.0,318.0,0.0,12.0
ETV2,16.0,29.0,1.0,1.0
ETV3,1458.0,787.0,57.0,59.0
ETV3L,0.0,1.0,0.0,0.0
ETV4,12.0,539.0,3.0,60.0
ETV5,580.0,315.0,15.0,32.0
ETV6,1823.0,1280.0,61.0,172.0
ETV7,127.0,198.0,7.0,15.0
EVA1A,2.0,119.0,1.0,20.0
EVA1B,277.0,203.0,37.0,23.0
EVA1C,166.0,451.0,29.0,45.0
EVC,82.0,86.0,0.0,14.0
EVC2,78.0,20.0,2.0,1.0
EVI2A,1797.0,34.0,19.0,2.0
EVI2B,3543.0,91.0,38.0,8.0
EVI5,662.0,580.0,56.0,34.0
EVI5L,229.0,158.0,8.0,10.0
EVL,5756.0,378.0,109.0,12.0
EVPL,24.0,1042.0,1.0,121.0
EWSR1,2606.0,1637.0,106.0,179.0
EXD1,0.0,0.0,0.0,0.0
EXD2,165.0,299.0,15.0,18.0
EXD3,91.0,170.0,14.0,12.0
EXO1,76.0,108.0,1.0,34.0
EXO5,172.0,155.0,7.0,30.0
EXOC1,1198.0,1450.0,51.0,145.0
EXOC2,776.0,386.0,30.0,53.0
EXOC3,1596.0,1330.0,46.0,133.0
EXOC3L1,24.0,16.0,53.0,0.0
EXOC3L2,9.0,8.0,138.0,0.0
EXOC3L4,1.0,87.0,0.0,4.0
EXOC4,1185.0,1083.0,60.0,111.0
EXOC5,1499.0,965.0,87.0,96.0
EXOC6,461.0,395.0,49.0,18.0
EXOC6B,255.0,470.0,25.0,45.0
EXOC7,1685.0,2009.0,89.0,168.0
EXOC8,864.0,747.0,22.0,59.0
EXOG,221.0,106.0,10.0,2.0
EXOSC1,633.0,512.0,29.0,74.0
EXOSC10,1268.0,980.0,67.0,96.0
EXOSC2,498.0,419.0,14.0,98.0
EXOSC3,233.0,205.0,9.0,21.0
EXOSC4,465.0,806.0,28.0,130.0
EXOSC5,320.0,294.0,13.0,44.0
EXOSC6,282.0,165.0,11.0,17.0
EXOSC7,461.0,452.0,25.0,83.0
EXOSC8,556.0,487.0,19.0,52.0
EXOSC9,780.0,451.0,23.0,58.0
EXPH5,100.0,777.0,1.0,41.0
EXT1,379.0,822.0,33.0,69.0
EXT2,567.0,833.0,44.0,98.0
EXTL1,4.0,168.0,0.0,25.0
EXTL2,135.0,173.0,17.0,10.0
EXTL3,577.0,528.0,50.0,55.0
EXTL3-AS1,4.0,5.0,0.0,0.0
EYA1,6.0,50.0,0.0,8.0
EYA2,38.0,147.0,0.0,84.0
EYA3,406.0,227.0,14.0,19.0
EYA4,4.0,9.0,1.0,0.0
EYS,5.0,9.0,0.0,1.0
EZH1,834.0,605.0,46.0,35.0
EZH2,667.0,360.0,5.0,43.0
EZR,9370.0,25554.0,190.0,2160.0
F10,5.0,319.0,0.0,0.0
F11,2.0,16.0,0.0,0.0
F11-AS1,0.0,2.0,0.0,0.0
F12,30.0,428.0,2.0,28.0
F13A1,4759.0,89.0,6.0,36.0
F13B,0.0,0.0,0.0,0.0
F2,17.0,18.0,0.0,1.0
F2R,831.0,262.0,349.0,47.0
F2RL1,51.0,901.0,1.0,130.0
F2RL2,3.0,2.0,25.0,0.0
F2RL3,19.0,5.0,30.0,0.0
F3,148.0,2586.0,2.0,311.0
F5,342.0,2656.0,3.0,39.0
F7,6.0,106.0,0.0,1.0
F8,175.0,182.0,590.0,13.0
F8A1,98.0,70.0,1.0,4.0
F9,9.0,2.0,0.0,0.0
FA2H,9.0,358.0,0.0,11.0
FAAH,138.0,379.0,4.0,36.0
FAAH2,53.0,182.0,2.0,10.0
FABP1,22.0,6.0,0.0,0.0
FABP3,205.0,11.0,1.0,0.0
FABP4,179.0,22.0,10.0,0.0
FABP5,38.0,4.0,1.0,1.0
FABP6,2.0,106.0,0.0,2.0
FADD,496.0,774.0,21.0,77.0
FADS1,831.0,364.0,63.0,17.0
FADS2,222.0,146.0,17.0,2.0
FADS3,156.0,104.0,15.0,14.0
FADS6,8.0,4.0,0.0,0.0
FAF1,711.0,747.0,36.0,134.0
FAF2,1232.0,2259.0,61.0,209.0
FAH,410.0,368.0,4.0,46.0
FAHD1,521.0,821.0,22.0,70.0
FAHD2A,162.0,141.0,7.0,8.0
FAHD2B,67.0,60.0,4.0,14.0
FAIM,99.0,164.0,6.0,16.0
FAIM2,5.0,85.0,0.0,0.0
FAIM3,1512.0,78.0,26.0,1.0
FAM101A,4.0,638.0,1.0,46.0
FAM101B,1085.0,102.0,205.0,7.0
FAM102A,1088.0,1099.0,75.0,82.0
FAM102B,657.0,232.0,12.0,13.0
FAM103A1,62.0,74.0,0.0,3.0
FAM104A,868.0,741.0,22.0,49.0
FAM104B,133.0,147.0,4.0,8.0
FAM105A,1306.0,75.0,9.0,5.0
FAM105B,1147.0,440.0,23.0,68.0
FAM106A,2.0,0.0,0.0,0.0
FAM107A,4.0,8.0,41.0,0.0
FAM107B,5034.0,2395.0,159.0,137.0
FAM109A,153.0,305.0,10.0,12.0
FAM109B,119.0,201.0,8.0,17.0
FAM110A,403.0,211.0,12.0,35.0
FAM110B,74.0,58.0,7.0,0.0
FAM110C,15.0,440.0,0.0,29.0
FAM110D,2.0,2.0,31.0,0.0
FAM111A,2819.0,1009.0,85.0,89.0
FAM111B,305.0,288.0,0.0,52.0
FAM114A1,209.0,1660.0,44.0,164.0
FAM114A2,478.0,347.0,31.0,32.0
FAM115A,212.0,422.0,21.0,29.0
FAM115C,99.0,47.0,5.0,0.0
FAM117A,444.0,113.0,9.0,8.0
FAM117B,430.0,266.0,13.0,20.0
FAM118A,642.0,211.0,25.0,24.0
FAM118B,270.0,288.0,19.0,9.0
FAM120A,3908.0,3260.0,129.0,389.0
FAM120AOS,1342.0,1239.0,64.0,119.0
FAM120B,681.0,447.0,38.0,50.0
FAM120C,187.0,137.0,8.0,17.0
FAM122A,399.0,199.0,14.0,22.0
FAM122B,493.0,562.0,20.0,29.0
FAM122C,105.0,56.0,4.0,4.0
FAM124A,27.0,22.0,14.0,2.0
FAM124B,47.0,0.0,15.0,1.0
FAM126A,659.0,197.0,38.0,73.0
FAM126B,649.0,542.0,29.0,39.0
FAM127A,309.0,413.0,34.0,46.0
FAM127B,129.0,521.0,22.0,51.0
FAM127C,30.0,67.0,9.0,7.0
FAM129A,5349.0,824.0,57.0,107.0
FAM129B,838.0,3240.0,83.0,531.0
FAM129C,345.0,11.0,5.0,6.0
FAM131A,148.0,251.0,15.0,7.0
FAM131B,32.0,17.0,1.0,0.0
FAM132A,3.0,92.0,0.0,0.0
FAM132B,11.0,13.0,0.0,2.0
FAM133A,3.0,63.0,0.0,6.0
FAM133B,155.0,159.0,5.0,16.0
FAM134A,1332.0,1352.0,50.0,106.0
FAM134B,451.0,837.0,8.0,15.0
FAM134C,1110.0,1200.0,39.0,78.0
FAM135A,357.0,589.0,13.0,27.0
FAM135B,13.0,49.0,1.0,0.0
FAM136A,633.0,806.0,13.0,74.0
FAM13A,770.0,1072.0,18.0,104.0
FAM13A-AS1,146.0,41.0,3.0,2.0
FAM13B,2026.0,880.0,69.0,49.0
FAM13C,1.0,41.0,40.0,1.0
FAM149A,28.0,209.0,3.0,8.0
FAM149B1,247.0,240.0,13.0,37.0
FAM150A,1.0,51.0,0.0,3.0
FAM150B,8.0,12.0,3.0,0.0
FAM151B,41.0,27.0,0.0,2.0
FAM153A,21.0,19.0,1.0,0.0
FAM153B,22.0,25.0,0.0,0.0
FAM153C,0.0,0.0,0.0,0.0
FAM154A,0.0,0.0,0.0,0.0
FAM154B,15.0,18.0,0.0,0.0
FAM155A,2.0,173.0,0.0,5.0
FAM155A-IT1,0.0,0.0,0.0,0.0
FAM155B,4.0,39.0,0.0,2.0
FAM156B,0.0,0.0,0.0,0.0
FAM157A,0.0,0.0,0.0,0.0
FAM157C,5.0,7.0,0.0,0.0
FAM159A,159.0,6.0,1.0,1.0
FAM160A1,8.0,92.0,0.0,10.0
FAM160A2,465.0,416.0,21.0,22.0
FAM160B1,570.0,341.0,40.0,27.0
FAM160B2,610.0,497.0,25.0,34.0
FAM161A,60.0,187.0,1.0,11.0
FAM161B,184.0,233.0,11.0,10.0
FAM162A,428.0,682.0,10.0,48.0
FAM162B,0.0,1.0,0.0,0.0
FAM163A,3.0,41.0,0.0,1.0
FAM166A,33.0,34.0,0.0,10.0
FAM166B,0.0,0.0,0.0,0.0
FAM167A,41.0,276.0,1.0,7.0
FAM167B,8.0,3.0,49.0,0.0
FAM168A,765.0,553.0,20.0,39.0
FAM168B,1391.0,1357.0,75.0,116.0
FAM169A,167.0,221.0,2.0,15.0
FAM169B,0.0,0.0,0.0,0.0
FAM171A1,52.0,102.0,70.0,13.0
FAM171A2,3.0,36.0,3.0,0.0
FAM171B,20.0,346.0,26.0,33.0
FAM172A,657.0,656.0,53.0,51.0
FAM173A,559.0,675.0,28.0,44.0
FAM173B,141.0,178.0,3.0,8.0
FAM174A,81.0,165.0,10.0,12.0
FAM174B,45.0,387.0,26.0,3.0
FAM175A,312.0,165.0,27.0,21.0
FAM175B,541.0,408.0,21.0,52.0
FAM177A1,701.0,1428.0,40.0,82.0
FAM177B,22.0,139.0,0.0,0.0
FAM178A,1354.0,786.0,47.0,80.0
FAM178B,0.0,0.0,0.0,0.0
FAM179A,66.0,18.0,0.0,1.0
FAM179B,529.0,633.0,32.0,36.0
FAM180A,5.0,0.0,0.0,0.0
FAM181B,2.0,12.0,0.0,4.0
FAM182B,0.0,0.0,0.0,0.0
FAM183A,0.0,13.0,0.0,1.0
FAM183CP,0.0,0.0,0.0,0.0
FAM184A,70.0,87.0,7.0,0.0
FAM184B,29.0,25.0,3.0,2.0
FAM185A,48.0,66.0,7.0,12.0
FAM186A,7.0,4.0,0.0,0.0
FAM186B,13.0,14.0,0.0,2.0
FAM188A,285.0,182.0,19.0,18.0
FAM188B,15.0,109.0,9.0,11.0
FAM189A1,0.0,1.0,0.0,0.0
FAM189A2,8.0,31.0,5.0,3.0
FAM189B,228.0,491.0,21.0,78.0
FAM192A,1519.0,975.0,64.0,116.0
FAM193A,1371.0,885.0,59.0,70.0
FAM193B,713.0,621.0,47.0,34.0
FAM194A,2.0,0.0,0.0,0.0
FAM194B,4.0,8.0,0.0,0.0
FAM195A,597.0,710.0,10.0,78.0
FAM195B,96.0,80.0,7.0,1.0
FAM196A,13.0,10.0,1.0,2.0
FAM196B,0.0,0.0,0.0,0.0
FAM198A,39.0,11.0,0.0,7.0
FAM198B,938.0,127.0,187.0,20.0
FAM199X,843.0,1150.0,31.0,86.0
FAM19A1,5.0,1.0,0.0,0.0
FAM19A2,40.0,16.0,2.0,1.0
FAM19A3,0.0,0.0,0.0,0.0
FAM19A4,1.0,13.0,3.0,0.0
FAM19A5,3.0,12.0,0.0,0.0
FAM200A,129.0,186.0,5.0,23.0
FAM200B,439.0,464.0,9.0,34.0
FAM201A,11.0,28.0,1.0,0.0
FAM203A,3.0,6.0,0.0,0.0
FAM204A,951.0,804.0,34.0,84.0
FAM206A,314.0,424.0,20.0,54.0
FAM207A,210.0,315.0,8.0,40.0
FAM208A,2935.0,1333.0,64.0,119.0
FAM208B,1512.0,1617.0,77.0,136.0
FAM209A,18.0,4.0,0.0,0.0
FAM209B,9.0,5.0,0.0,0.0
FAM20A,749.0,131.0,16.0,14.0
FAM20B,680.0,1201.0,36.0,148.0
FAM20C,925.0,590.0,9.0,88.0
FAM210A,481.0,569.0,20.0,155.0
FAM210B,760.0,1904.0,89.0,257.0
FAM211A,685.0,721.0,26.0,180.0
FAM211B,32.0,139.0,2.0,10.0
FAM212A,33.0,11.0,23.0,14.0
FAM212B,131.0,64.0,12.0,4.0
FAM213A,423.0,1162.0,114.0,528.0
FAM213B,394.0,1003.0,51.0,54.0
FAM214A,845.0,603.0,34.0,39.0
FAM214B,428.0,236.0,16.0,16.0
FAM216A,87.0,77.0,4.0,6.0
FAM217B,747.0,582.0,21.0,39.0
FAM218A,5.0,3.0,0.0,0.0
FAM219A,246.0,232.0,35.0,19.0
FAM219B,861.0,787.0,52.0,59.0
FAM21A,230.0,112.0,7.0,15.0
FAM21B,94.0,24.0,6.0,2.0
FAM21C,663.0,280.0,22.0,29.0
FAM220A,224.0,272.0,8.0,22.0
FAM221A,40.0,103.0,0.0,1.0
FAM221B,11.0,13.0,1.0,0.0
FAM222A,14.0,128.0,2.0,2.0
FAM222B,303.0,681.0,30.0,57.0
FAM225A,17.0,6.0,0.0,3.0
FAM225B,12.0,9.0,1.0,2.0
FAM227A,25.0,92.0,0.0,9.0
FAM227B,36.0,48.0,0.0,2.0
FAM228A,1.0,0.0,0.0,0.0
FAM228B,318.0,111.0,13.0,4.0
FAM229A,80.0,43.0,4.0,4.0
FAM229B,19.0,141.0,11.0,5.0
FAM24B,21.0,16.0,0.0,0.0
FAM25C,0.0,8.0,0.0,1.0
FAM26E,9.0,8.0,22.0,4.0
FAM26F,2109.0,92.0,21.0,9.0
FAM27A,2.0,12.0,3.0,1.0
FAM27E3,0.0,0.0,0.0,0.0
FAM32A,1536.0,1448.0,73.0,115.0
FAM35A,423.0,282.0,14.0,35.0
FAM3A,480.0,758.0,20.0,78.0
FAM3B,17.0,516.0,0.0,6.0
FAM3C,248.0,1828.0,21.0,188.0
FAM3D,15.0,672.0,1.0,12.0
FAM43A,414.0,191.0,87.0,18.0
FAM43B,0.0,0.0,0.0,0.0
FAM45A,290.0,187.0,7.0,10.0
FAM46A,1648.0,1229.0,17.0,84.0
FAM46B,7.0,27.0,1.0,15.0
FAM46C,1760.0,400.0,36.0,16.0
FAM47E-STBD1,120.0,435.0,5.0,18.0
FAM49A,1517.0,44.0,37.0,1.0
FAM49B,4683.0,1128.0,49.0,151.0
FAM50A,1618.0,1669.0,52.0,182.0
FAM50B,229.0,152.0,6.0,10.0
FAM53A,19.0,20.0,3.0,0.0
FAM53B,1460.0,331.0,60.0,63.0
FAM53C,899.0,392.0,26.0,58.0
FAM57A,38.0,191.0,6.0,21.0
FAM57B,8.0,18.0,0.0,1.0
FAM58A,455.0,425.0,21.0,47.0
FAM60A,705.0,855.0,18.0,140.0
FAM63A,165.0,351.0,10.0,24.0
FAM63B,913.0,1729.0,64.0,173.0
FAM64A,79.0,105.0,5.0,7.0
FAM65A,521.0,235.0,49.0,21.0
FAM65B,4130.0,123.0,76.0,6.0
FAM65C,12.0,10.0,13.0,0.0
FAM66B,1.0,0.0,0.0,0.0
FAM66C,9.0,16.0,0.0,3.0
FAM66D,1.0,0.0,0.0,0.0
FAM69A,252.0,86.0,5.0,5.0
FAM69B,12.0,41.0,72.0,0.0
FAM69C,0.0,0.0,0.0,0.0
FAM71A,36.0,23.0,0.0,0.0
FAM71B,0.0,0.0,0.0,0.0
FAM71D,9.0,11.0,0.0,1.0
FAM71E1,8.0,53.0,1.0,9.0
FAM71F1,1.0,0.0,0.0,0.0
FAM71F2,3.0,8.0,0.0,0.0
FAM72A,12.0,7.0,2.0,2.0
FAM72B,23.0,6.0,1.0,3.0
FAM72D,2.0,4.0,1.0,5.0
FAM73A,354.0,792.0,17.0,46.0
FAM73B,446.0,308.0,27.0,38.0
FAM76A,241.0,193.0,14.0,11.0
FAM76B,959.0,497.0,31.0,39.0
FAM78A,1496.0,81.0,18.0,4.0
FAM78B,11.0,17.0,5.0,3.0
FAM81A,29.0,104.0,1.0,21.0
FAM81B,2.0,87.0,0.0,2.0
FAM83A,24.0,1122.0,0.0,239.0
FAM83A-AS1,0.0,1.0,0.0,0.0
FAM83B,1.0,313.0,0.0,48.0
FAM83C,0.0,0.0,0.0,0.0
FAM83D,96.0,155.0,5.0,53.0
FAM83E,9.0,565.0,0.0,28.0
FAM83F,16.0,275.0,0.0,39.0
FAM83G,133.0,429.0,0.0,45.0
FAM83H,79.0,1271.0,0.0,153.0
FAM83H-AS1,8.0,395.0,1.0,53.0
FAM84A,6.0,71.0,21.0,46.0
FAM84B,162.0,1605.0,29.0,113.0
FAM85A,6.0,9.0,0.0,1.0
FAM86A,92.0,88.0,8.0,9.0
FAM86B1,0.0,0.0,0.0,0.0
FAM86C1,33.0,57.0,2.0,7.0
FAM87B,0.0,0.0,0.0,0.0
FAM89A,181.0,114.0,23.0,23.0
FAM89B,712.0,385.0,21.0,42.0
FAM8A1,634.0,488.0,39.0,22.0
FAM90A1,17.0,17.0,0.0,0.0
FAM91A1,876.0,1155.0,38.0,117.0
FAM92A1,53.0,130.0,5.0,27.0
FAM92B,3.0,10.0,0.0,0.0
FAM96A,1171.0,771.0,24.0,27.0
FAM96B,1708.0,1634.0,50.0,137.0
FAM98A,414.0,651.0,33.0,56.0
FAM98B,688.0,621.0,27.0,63.0
FAM98C,384.0,495.0,5.0,28.0
FAM99A,0.0,0.0,0.0,0.0
FAM9B,0.0,0.0,0.0,0.0
FAN1,418.0,399.0,13.0,24.0
FANCA,260.0,155.0,7.0,23.0
FANCB,44.0,30.0,0.0,5.0
FANCC,85.0,104.0,8.0,26.0
FANCD2,403.0,208.0,6.0,44.0
FANCD2OS,0.0,0.0,0.0,0.0
FANCE,99.0,90.0,9.0,12.0
FANCF,223.0,269.0,6.0,22.0
FANCG,108.0,123.0,6.0,23.0
FANCI,520.0,515.0,8.0,82.0
FANCL,130.0,268.0,18.0,36.0
FANCM,361.0,211.0,23.0,23.0
FANK1,59.0,181.0,1.0,9.0
FAP,10.0,33.0,11.0,34.0
FAR1,1304.0,876.0,56.0,87.0
FAR1-IT1,7.0,9.0,0.0,0.0
FAR2,322.0,216.0,24.0,20.0
FARP1,254.0,1438.0,38.0,99.0
FARP1-AS1,12.0,6.0,0.0,0.0
FARP2,405.0,996.0,19.0,62.0
FARS2,239.0,134.0,15.0,20.0
FARSA,1003.0,1023.0,59.0,90.0
FARSB,405.0,524.0,17.0,74.0
FAS,701.0,296.0,15.0,58.0
FASLG,441.0,13.0,6.0,0.0
FASN,279.0,674.0,14.0,59.0
FASTK,442.0,429.0,26.0,39.0
FASTKD1,340.0,240.0,11.0,30.0
FASTKD2,389.0,453.0,11.0,53.0
FASTKD3,139.0,152.0,8.0,10.0
FASTKD5,392.0,404.0,13.0,38.0
FAT1,50.0,5031.0,1.0,356.0
FAT2,13.0,39.0,0.0,91.0
FAT3,12.0,77.0,0.0,7.0
FAT4,21.0,65.0,132.0,7.0
FAU,11366.0,6919.0,330.0,753.0
FAXC,4.0,57.0,0.0,7.0
FAXDC2,165.0,331.0,30.0,21.0
FBF1,128.0,81.0,5.0,3.0
FBL,2828.0,2385.0,108.0,657.0
FBLIM1,41.0,1039.0,68.0,95.0
FBLN1,35.0,283.0,4.0,27.0
FBLN2,26.0,11.0,32.0,1.0
FBLN5,81.0,35.0,21.0,1.0
FBLN7,151.0,31.0,3.0,2.0
FBN1,33.0,106.0,110.0,17.0
FBN2,129.0,19.0,1.0,3.0
FBN3,4.0,2.0,0.0,0.0
FBP1,3736.0,930.0,16.0,41.0
FBRS,1041.0,683.0,37.0,51.0
FBRSL1,251.0,214.0,8.0,20.0
FBXL12,176.0,167.0,8.0,8.0
FBXL13,14.0,72.0,0.0,10.0
FBXL14,94.0,68.0,2.0,2.0
FBXL15,838.0,539.0,34.0,44.0
FBXL16,116.0,61.0,0.0,1.0
FBXL17,465.0,457.0,16.0,35.0
FBXL18,44.0,82.0,6.0,9.0
FBXL19,146.0,187.0,10.0,17.0
FBXL19-AS1,39.0,69.0,1.0,9.0
FBXL2,13.0,155.0,5.0,10.0
FBXL20,150.0,161.0,8.0,7.0
FBXL22,6.0,12.0,1.0,0.0
FBXL3,940.0,938.0,40.0,51.0
FBXL4,291.0,336.0,15.0,21.0
FBXL5,1997.0,1144.0,66.0,87.0
FBXL6,224.0,327.0,4.0,24.0
FBXL7,3.0,3.0,19.0,0.0
FBXL8,21.0,47.0,3.0,6.0
FBXO10,45.0,18.0,13.0,1.0
FBXO11,1680.0,1108.0,62.0,108.0
FBXO15,11.0,16.0,0.0,1.0
FBXO16,9.0,100.0,1.0,6.0
FBXO17,9.0,60.0,4.0,21.0
FBXO18,1205.0,951.0,63.0,58.0
FBXO2,90.0,484.0,1.0,53.0
FBXO21,694.0,1224.0,51.0,89.0
FBXO22,174.0,354.0,4.0,23.0
FBXO24,5.0,7.0,0.0,0.0
FBXO25,458.0,351.0,26.0,41.0
FBXO27,21.0,63.0,3.0,21.0
FBXO28,561.0,720.0,23.0,62.0
FBXO3,348.0,513.0,18.0,36.0
FBXO30,385.0,200.0,11.0,17.0
FBXO31,378.0,373.0,18.0,34.0
FBXO32,329.0,863.0,11.0,111.0
FBXO33,814.0,420.0,20.0,22.0
FBXO34,1094.0,1062.0,24.0,68.0
FBXO36,15.0,62.0,2.0,8.0
FBXO38,790.0,667.0,45.0,88.0
FBXO39,2.0,9.0,2.0,0.0
FBXO4,116.0,84.0,2.0,12.0
FBXO40,0.0,0.0,0.0,0.0
FBXO41,454.0,271.0,4.0,27.0
FBXO42,554.0,295.0,11.0,17.0
FBXO43,19.0,5.0,1.0,3.0
FBXO44,200.0,165.0,3.0,9.0
FBXO45,483.0,445.0,17.0,68.0
FBXO46,175.0,187.0,3.0,20.0
FBXO48,90.0,73.0,9.0,5.0
FBXO5,341.0,177.0,3.0,29.0
FBXO6,477.0,230.0,7.0,20.0
FBXO7,1331.0,789.0,61.0,76.0
FBXO8,276.0,210.0,9.0,20.0
FBXO9,1170.0,1062.0,50.0,95.0
FBXW10,0.0,0.0,0.0,0.0
FBXW11,935.0,1151.0,38.0,83.0
FBXW12,0.0,0.0,0.0,0.0
FBXW2,1224.0,785.0,62.0,100.0
FBXW4,429.0,384.0,12.0,31.0
FBXW5,2835.0,2311.0,141.0,322.0
FBXW7,1915.0,775.0,72.0,66.0
FBXW8,207.0,278.0,7.0,19.0
FBXW9,55.0,156.0,6.0,15.0
FCAMR,4.0,3.0,0.0,1.0
FCAR,106.0,1.0,5.0,0.0
FCER1A,1274.0,18.0,8.0,1.0
FCER1G,5734.0,127.0,43.0,14.0
FCER2,147.0,1.0,3.0,2.0
FCF1,613.0,504.0,22.0,57.0
FCGBP,562.0,116.0,0.0,0.0
FCGR1A,814.0,23.0,1.0,1.0
FCGR1B,339.0,8.0,4.0,0.0
FCGR2A,5636.0,162.0,25.0,15.0
FCGR2B,1840.0,23.0,105.0,5.0
FCGR3A,13764.0,258.0,38.0,28.0
FCGR3B,187.0,8.0,0.0,3.0
FCGRT,7857.0,1653.0,407.0,53.0
FCHO1,277.0,80.0,9.0,3.0
FCHO2,1183.0,718.0,85.0,57.0
FCHSD1,269.0,143.0,7.0,16.0
FCHSD2,1580.0,415.0,111.0,33.0
FCN1,6789.0,95.0,106.0,6.0
FCN2,23.0,13.0,495.0,0.0
FCN3,106.0,20.0,1581.0,1.0
FCRL1,181.0,3.0,1.0,0.0
FCRL2,66.0,8.0,0.0,0.0
FCRL3,705.0,16.0,5.0,1.0
FCRL4,7.0,0.0,0.0,0.0
FCRL5,151.0,16.0,6.0,3.0
FCRL6,501.0,24.0,7.0,0.0
FCRLA,224.0,21.0,4.0,1.0
FCRLB,77.0,27.0,2.0,2.0
FDCSP,0.0,0.0,0.0,0.0
FDFT1,1067.0,1371.0,48.0,140.0
FDPS,1305.0,1848.0,108.0,234.0
FDX1,373.0,347.0,29.0,25.0
FDX1L,57.0,87.0,1.0,2.0
FDXACB1,87.0,37.0,5.0,5.0
FDXR,167.0,302.0,53.0,37.0
FECH,513.0,247.0,19.0,20.0
FEM1A,400.0,328.0,10.0,25.0
FEM1B,1323.0,1234.0,34.0,106.0
FEM1C,663.0,531.0,24.0,56.0
FEN1,314.0,268.0,8.0,48.0
FENDRR,2.0,1.0,0.0,0.0
FER,548.0,684.0,49.0,58.0
FER1L6,12.0,534.0,3.0,1.0
FERMT1,26.0,2491.0,6.0,224.0
FERMT2,37.0,236.0,124.0,15.0
FERMT3,3726.0,317.0,46.0,10.0
FES,1409.0,136.0,52.0,3.0
FETUB,2.0,1.0,0.0,0.0
FEZ1,106.0,11.0,100.0,11.0
FEZ2,1163.0,1096.0,76.0,66.0
FEZF1-AS1,4.0,132.0,0.0,13.0
FFAR2,336.0,121.0,20.0,0.0
FFAR3,12.0,3.0,0.0,0.0
FFAR4,147.0,39.0,0.0,1.0
FGA,92.0,403.0,5.0,4.0
FGB,76.0,1467.0,1.0,2.0
FGD1,10.0,33.0,4.0,4.0
FGD2,1522.0,86.0,12.0,4.0
FGD3,1950.0,145.0,33.0,10.0
FGD4,1287.0,1297.0,20.0,113.0
FGD5,276.0,450.0,202.0,3.0
FGD5-AS1,2194.0,2096.0,111.0,154.0
FGD6,574.0,1771.0,53.0,162.0
FGF1,9.0,136.0,0.0,11.0
FGF10,1.0,1.0,0.0,0.0
FGF11,9.0,4.0,0.0,0.0
FGF12,6.0,130.0,6.0,1.0
FGF13,2.0,59.0,0.0,5.0
FGF13-AS1,0.0,0.0,0.0,0.0
FGF14,0.0,195.0,0.0,1.0
FGF14-AS2,14.0,31.0,3.0,0.0
FGF17,0.0,0.0,0.0,0.0
FGF18,7.0,64.0,4.0,0.0
FGF19,5.0,257.0,0.0,35.0
FGF2,5.0,79.0,16.0,14.0
FGF20,2.0,31.0,0.0,0.0
FGF22,1.0,0.0,0.0,0.0
FGF23,5.0,2.0,8.0,0.0
FGF5,1.0,25.0,0.0,4.0
FGF7,3.0,5.0,0.0,0.0
