,immune,endo,fibro,classic,basal
PTH1R,3.0,2.0,64.0,7.0,0.0
CCDC12,660.0,926.0,427.0,2116.0,50.0
NBEAL2,108.0,193.0,50.0,528.0,20.0
SETD2,141.0,338.0,120.0,534.0,9.0
KIF9-AS1,4.0,7.0,1.0,10.0,1.0
KIF9,61.0,305.0,108.0,1031.0,7.0
KLHL18,91.0,135.0,47.0,166.0,3.0
RP11-708J19.1,19.0,34.0,23.0,79.0,1.0
PTPN23,64.0,146.0,72.0,303.0,6.0
SCAP,79.0,167.0,88.0,343.0,10.0
ELP6,155.0,225.0,144.0,309.0,9.0
SMARCC1,236.0,307.0,170.0,710.0,33.0
DHX30,203.0,453.0,193.0,765.0,23.0
MAP4,330.0,1410.0,733.0,1283.0,27.0
CDC25A,7.0,2.0,0.0,19.0,3.0
CAMP,9.0,5.0,2.0,8.0,0.0
ZNF589,31.0,34.0,11.0,47.0,5.0
NME6,116.0,95.0,48.0,230.0,7.0
PLXNB1,65.0,175.0,87.0,652.0,18.0
CCDC51,37.0,69.0,45.0,274.0,9.0
TMA7,5954.0,7595.0,3942.0,14446.0,367.0
ATRIP,15.0,24.0,13.0,38.0,1.0
TREX1,279.0,355.0,98.0,518.0,18.0
SHISA5,521.0,1047.0,532.0,1997.0,42.0
PFKFB4,20.0,5.0,6.0,66.0,4.0
COL7A1,20.0,21.0,63.0,114.0,14.0
UQCRC1,840.0,632.0,613.0,2213.0,108.0
SLC26A6,69.0,125.0,44.0,291.0,8.0
CELSR3,6.0,9.0,5.0,46.0,0.0
NCKIPSD,46.0,212.0,67.0,214.0,5.0
RP11-572O6.1,0.0,0.0,0.0,1.0,0.0
IP6K2,302.0,740.0,405.0,1668.0,33.0
PRKAR2A,211.0,669.0,193.0,727.0,14.0
PRKAR2A-AS1,1.0,7.0,1.0,6.0,0.0
SLC25A20,59.0,74.0,21.0,172.0,3.0
ARIH2OS,26.0,36.0,19.0,84.0,2.0
ARIH2,234.0,402.0,165.0,510.0,18.0
RP13-131K19.1,0.0,1.0,0.0,6.0,1.0
RP13-131K19.2,0.0,0.0,0.0,1.0,0.0
RP13-131K19.7,7.0,7.0,2.0,8.0,0.0
P4HTM,141.0,242.0,174.0,827.0,21.0
WDR6,211.0,415.0,213.0,659.0,14.0
DALRD3,119.0,148.0,148.0,419.0,14.0
NDUFAF3,1016.0,1619.0,1008.0,2774.0,75.0
IMPDH2,393.0,514.0,689.0,1377.0,33.0
RP13-131K19.6,1.0,5.0,4.0,12.0,1.0
QRICH1,156.0,233.0,128.0,411.0,16.0
QARS,402.0,527.0,325.0,1020.0,34.0
USP19,58.0,125.0,73.0,260.0,3.0
LAMB2,146.0,780.0,689.0,730.0,27.0
CCDC71,91.0,167.0,88.0,182.0,3.0
KLHDC8B,65.0,232.0,166.0,105.0,4.0
CCDC36,0.0,24.0,12.0,0.0,0.0
C3orf62,52.0,96.0,43.0,126.0,8.0
USP4,172.0,247.0,85.0,329.0,11.0
GPX1,14605.0,3722.0,2265.0,11184.0,488.0
RHOA,3772.0,4333.0,2598.0,7341.0,229.0
TCTA,96.0,136.0,79.0,416.0,7.0
AMT,48.0,68.0,36.0,141.0,3.0
NICN1-AS1,0.0,1.0,0.0,1.0,0.0
NICN1,39.0,62.0,31.0,74.0,1.0
DAG1,71.0,376.0,191.0,1231.0,33.0
BSN,1.0,5.0,0.0,5.0,0.0
APEH,208.0,112.0,133.0,611.0,17.0
MST1,10.0,59.0,23.0,171.0,0.0
RNF123,36.0,77.0,36.0,124.0,2.0
GMPPB,10.0,4.0,0.0,20.0,0.0
IP6K1,78.0,177.0,105.0,222.0,10.0
FAM212A,26.0,226.0,43.0,26.0,5.0
UBA7,175.0,180.0,115.0,388.0,11.0
TRAIP,12.0,1.0,2.0,27.0,2.0
MST1R,33.0,33.0,23.0,808.0,11.0
MON1A,28.0,76.0,32.0,84.0,0.0
RBM6,401.0,821.0,367.0,944.0,25.0
RBM5,297.0,625.0,275.0,748.0,14.0
RP11-493K19.3,0.0,10.0,0.0,1.0,0.0
SEMA3F,19.0,505.0,29.0,151.0,14.0
GNAI2,1380.0,3262.0,609.0,1590.0,79.0
U73166.2,2.0,15.0,7.0,38.0,0.0
SEMA3B-AS1,1.0,5.0,2.0,56.0,0.0
IFRD2,135.0,358.0,193.0,936.0,13.0
HYAL3,14.0,34.0,13.0,49.0,1.0
NAT6,56.0,121.0,58.0,122.0,3.0
HYAL1,18.0,249.0,16.0,404.0,3.0
HYAL2,231.0,6940.0,274.0,828.0,37.0
TUSC2,315.0,572.0,239.0,1246.0,38.0
RASSF1,208.0,456.0,194.0,431.0,12.0
ZMYND10,2.0,5.0,6.0,19.0,1.0
NPRL2,111.0,136.0,95.0,362.0,6.0
CYB561D2,277.0,210.0,106.0,439.0,7.0
TMEM115,108.0,258.0,198.0,520.0,12.0
CACNA2D2,6.0,12.0,8.0,15.0,0.0
XXcos-LUCA11.4,22.0,27.0,16.0,141.0,1.0
C3orf18,13.0,12.0,21.0,17.0,0.0
HEMK1,81.0,70.0,70.0,229.0,8.0
CISH,217.0,89.0,29.0,61.0,1.0
MAPKAPK3,267.0,59.0,61.0,351.0,8.0
RP11-804H8.6,14.0,5.0,3.0,25.0,1.0
DOCK3,2.0,3.0,3.0,3.0,0.0
MANF,868.0,817.0,979.0,2632.0,94.0
RBM15B,71.0,231.0,115.0,466.0,13.0
VPRBP,58.0,141.0,42.0,211.0,4.0
RAD54L2,65.0,148.0,71.0,179.0,5.0
TEX264,447.0,812.0,328.0,1387.0,33.0
GRM2,2.0,27.0,3.0,0.0,0.0
RRP9,97.0,140.0,109.0,371.0,12.0
PARP3,45.0,73.0,26.0,363.0,5.0
PCBP4,41.0,146.0,126.0,357.0,18.0
ABHD14B,400.0,414.0,354.0,1376.0,19.0
ABHD14A,225.0,253.0,205.0,415.0,10.0
ACY1,18.0,24.0,17.0,157.0,2.0
RPL29,16145.0,18114.0,13358.0,44261.0,1055.0
DUSP7,50.0,242.0,56.0,128.0,5.0
POC1A,48.0,16.0,13.0,115.0,4.0
ALAS1,150.0,177.0,80.0,488.0,7.0
TLR9,1.0,0.0,0.0,0.0,0.0
TWF2,803.0,360.0,316.0,916.0,37.0
PPM1M,206.0,67.0,105.0,101.0,6.0
WDR82,288.0,563.0,271.0,804.0,15.0
GLYCTK,65.0,90.0,26.0,171.0,2.0
DNAH1,18.0,35.0,9.0,45.0,1.0
BAP1,69.0,179.0,102.0,229.0,9.0
PHF7,33.0,43.0,27.0,57.0,1.0
SEMA3G,5.0,536.0,8.0,14.0,1.0
TNNC1,7.0,7.0,34.0,154.0,3.0
NISCH,149.0,248.0,208.0,333.0,11.0
STAB1,340.0,569.0,60.0,114.0,11.0
NT5DC2,55.0,66.0,274.0,219.0,18.0
SMIM4,422.0,373.0,376.0,938.0,25.0
PBRM1,297.0,431.0,198.0,676.0,26.0
GNL3,316.0,468.0,397.0,1271.0,37.0
GLT8D1,140.0,280.0,399.0,484.0,20.0
SPCS1,2134.0,1985.0,1511.0,6135.0,161.0
NEK4,41.0,77.0,57.0,173.0,2.0
ITIH4,9.0,6.0,4.0,9.0,0.0
RP5-966M1.6,1.0,1.0,23.0,2.0,0.0
MUSTN1,0.0,6.0,75.0,2.0,0.0
TMEM110-MUSTN1,6.0,7.0,7.0,8.0,0.0
TMEM110,42.0,28.0,18.0,38.0,0.0
SFMBT1,63.0,42.0,42.0,224.0,7.0
RFT1,98.0,101.0,84.0,189.0,10.0
PRKCD,218.0,49.0,57.0,558.0,13.0
TKT,1258.0,665.0,502.0,2728.0,81.0
DCP1A,149.0,336.0,177.0,523.0,14.0
CACNA1D,6.0,13.0,47.0,151.0,1.0
CHDH,19.0,48.0,32.0,424.0,4.0
IL17RB,19.0,18.0,12.0,165.0,4.0
RP11-884K10.7,9.0,16.0,10.0,32.0,1.0
ACTR8,75.0,81.0,69.0,116.0,4.0
SELK,1457.0,1900.0,1433.0,3870.0,106.0
CACNA2D3,84.0,3.0,17.0,5.0,3.0
LRTM1,0.0,0.0,3.0,0.0,0.0
WNT5A,67.0,7.0,153.0,36.0,7.0
ERC2,6.0,0.0,1.0,3.0,0.0
CCDC66,203.0,373.0,241.0,365.0,13.0
FAM208A,156.0,316.0,140.0,409.0,14.0
ARHGEF3,200.0,639.0,53.0,272.0,6.0
SPATA12,3.0,2.0,0.0,48.0,1.0
IL17RD,3.0,30.0,19.0,21.0,2.0
HESX1,18.0,19.0,6.0,29.0,0.0
APPL1,363.0,698.0,281.0,727.0,18.0
DNAH12,1.0,7.0,4.0,7.0,0.0
PDE12,94.0,142.0,73.0,256.0,7.0
ARF4,916.0,1186.0,2079.0,4160.0,145.0
RP11-755B10.4,9.0,39.0,17.0,51.0,2.0
DENND6A,66.0,219.0,69.0,195.0,6.0
SLMAP,150.0,288.0,245.0,919.0,32.0
FLNB,196.0,932.0,205.0,2532.0,80.0
DNASE1L3,50.0,769.0,5.0,11.0,0.0
ABHD6,60.0,86.0,15.0,82.0,3.0
RPP14,112.0,236.0,134.0,385.0,9.0
PXK,144.0,177.0,105.0,105.0,5.0
PDHB,393.0,670.0,509.0,790.0,18.0
RP11-802O23.3,7.0,3.0,6.0,8.0,0.0
RP11-359I18.5,4.0,3.0,0.0,3.0,0.0
KCTD6,52.0,115.0,61.0,133.0,6.0
ACOX2,10.0,13.0,37.0,31.0,1.0
FAM107A,23.0,2619.0,38.0,49.0,1.0
FAM3D,15.0,88.0,11.0,1151.0,24.0
C3orf67,2.0,4.0,3.0,28.0,5.0
FHIT,121.0,99.0,62.0,465.0,10.0
PTPRG,28.0,1127.0,328.0,250.0,7.0
C3orf14,125.0,162.0,158.0,611.0,16.0
CADPS,13.0,86.0,56.0,155.0,0.0
SYNPR,0.0,0.0,0.0,3.0,0.0
THOC7,803.0,901.0,636.0,2053.0,75.0
ATXN7,187.0,273.0,139.0,411.0,8.0
PSMD6,444.0,579.0,340.0,889.0,35.0
RP11-245J9.4,1.0,3.0,3.0,6.0,0.0
RP11-245J9.6,2.0,3.0,2.0,6.0,0.0
RP11-129B22.1,0.0,4.0,43.0,4.0,0.0
PRICKLE2,13.0,25.0,156.0,48.0,1.0
ADAMTS9,65.0,2657.0,383.0,367.0,15.0
ADAMTS9-AS2,11.0,145.0,92.0,48.0,2.0
MAGI1,44.0,1066.0,95.0,809.0,13.0
SLC25A26,190.0,197.0,192.0,495.0,16.0
LRIG1,45.0,125.0,103.0,341.0,9.0
KBTBD8,52.0,12.0,2.0,7.0,0.0
SUCLG2,377.0,427.0,334.0,1413.0,29.0
RP11-81N13.1,6.0,14.0,7.0,17.0,0.0
FAM19A1,2.0,0.0,3.0,0.0,0.0
EOGT,68.0,273.0,81.0,154.0,7.0
TMF1,247.0,400.0,255.0,882.0,15.0
UBA3,255.0,356.0,235.0,605.0,22.0
ARL6IP5,2133.0,1602.0,1403.0,2767.0,142.0
LMOD3,14.0,5.0,13.0,10.0,0.0
FRMD4B,308.0,680.0,45.0,755.0,13.0
MITF,161.0,41.0,268.0,265.0,7.0
FOXP1,533.0,1947.0,836.0,2355.0,48.0
RP11-154H23.3,5.0,9.0,5.0,14.0,0.0
EIF4E3,73.0,135.0,70.0,182.0,6.0
GPR27,20.0,10.0,11.0,7.0,2.0
PROK2,19.0,1.0,0.0,1.0,0.0
LINC00877,8.0,4.0,0.0,1.0,0.0
RYBP,157.0,462.0,202.0,555.0,18.0
SHQ1,43.0,123.0,50.0,136.0,4.0
GXYLT2,2.0,1.0,137.0,3.0,0.0
PPP4R2,276.0,596.0,314.0,890.0,38.0
EBLN2,49.0,109.0,46.0,110.0,4.0
PDZRN3,7.0,24.0,174.0,21.0,1.0
CNTN3,3.0,5.0,9.0,51.0,2.0
RP11-803B1.8,6.0,7.0,3.0,19.0,0.0
CTD-2026G6.3,0.0,0.0,0.0,0.0,0.0
LINC00960,4.0,17.0,21.0,44.0,2.0
ZNF717,12.0,28.0,22.0,96.0,2.0
ROBO2,0.0,4.0,26.0,6.0,0.0
ROBO1,16.0,413.0,132.0,54.0,4.0
GBE1,145.0,213.0,171.0,237.0,16.0
CADM2,0.0,0.0,0.0,14.0,0.0
VGLL3,11.0,19.0,261.0,94.0,1.0
CHMP2B,450.0,647.0,509.0,2499.0,61.0
HTR1F,1.0,5.0,54.0,6.0,0.0
CGGBP1,346.0,584.0,292.0,950.0,22.0
RP11-159G9.5,17.0,32.0,8.0,49.0,2.0
ZNF654,46.0,123.0,47.0,153.0,2.0
C3orf38,145.0,129.0,118.0,298.0,13.0
EPHA3,8.0,13.0,146.0,12.0,1.0
PROS1,58.0,796.0,422.0,388.0,8.0
ARL13B,81.0,328.0,174.0,251.0,6.0
STX19,5.0,10.0,2.0,336.0,7.0
DHFRL1,36.0,54.0,41.0,126.0,4.0
NSUN3,59.0,63.0,39.0,211.0,10.0
MTRNR2L12,5.0,10.0,2.0,52.0,0.0
ARL6,11.0,38.0,27.0,58.0,5.0
CRYBG3,19.0,204.0,40.0,66.0,6.0
CRYBG3.1,31.0,406.0,71.0,112.0,6.0
MINA,92.0,226.0,87.0,277.0,11.0
CLDND1,348.0,705.0,398.0,708.0,37.0
CPOX,63.0,101.0,39.0,165.0,8.0
ST3GAL6-AS1,9.0,11.0,2.0,2.0,0.0
ST3GAL6,154.0,119.0,27.0,73.0,1.0
DCBLD2,37.0,70.0,239.0,517.0,82.0
LINC00973,0.0,0.0,1.0,3.0,2.0
COL8A1,31.0,61.0,1578.0,91.0,5.0
CMSS1,198.0,374.0,241.0,780.0,29.0
FILIP1L,200.0,494.0,1372.0,477.0,6.0
TBC1D23,114.0,213.0,153.0,478.0,11.0
NIT2,272.0,178.0,265.0,1021.0,50.0
TOMM70A,137.0,205.0,140.0,543.0,16.0
LNP1,8.0,11.0,25.0,37.0,0.0
TMEM45A,87.0,104.0,800.0,892.0,118.0
GPR128,2.0,2.0,0.0,44.0,0.0
TFG,335.0,733.0,707.0,2378.0,87.0
ABI3BP,12.0,43.0,223.0,114.0,1.0
IMPG2,0.0,15.0,1.0,8.0,0.0
SENP7,104.0,251.0,75.0,226.0,8.0
TRMT10C,224.0,459.0,279.0,746.0,23.0
PCNP,844.0,1216.0,1067.0,2631.0,97.0
ZBTB11,75.0,138.0,67.0,220.0,12.0
ZBTB11-AS1,19.0,29.0,17.0,74.0,4.0
RPL24,11029.0,14537.0,10277.0,31551.0,958.0
CEP97,28.0,49.0,46.0,91.0,3.0
NXPE3,93.0,200.0,61.0,65.0,3.0
NFKBIZ,318.0,490.0,312.0,1371.0,36.0
ZPLD1,1.0,1.0,3.0,27.0,1.0
ALCAM,464.0,52.0,90.0,735.0,42.0
CBLB,186.0,467.0,244.0,500.0,19.0
LINC00882,7.0,9.0,67.0,12.0,0.0
LINC00883,7.0,18.0,28.0,37.0,3.0
BBX,420.0,822.0,701.0,1540.0,55.0
CD47,952.0,762.0,560.0,3874.0,227.0
RP11-861A13.4,17.0,3.0,2.0,4.0,0.0
IFT57,149.0,425.0,452.0,1159.0,38.0
HHLA2,7.0,15.0,13.0,710.0,10.0
KIAA1524,46.0,19.0,15.0,100.0,5.0
DZIP3,76.0,92.0,83.0,285.0,13.0
TRAT1,194.0,19.0,14.0,11.0,0.0
PVRL3,7.0,41.0,48.0,341.0,14.0
CD96,294.0,53.0,47.0,69.0,5.0
ZBED2,38.0,7.0,2.0,26.0,21.0
PLCXD2,13.0,44.0,11.0,63.0,2.0
PHLDB2,13.0,167.0,207.0,142.0,9.0
ABHD10,107.0,104.0,81.0,231.0,16.0
TAGLN3,1.0,3.0,3.0,4.0,0.0
TMPRSS7,0.0,0.0,1.0,28.0,0.0
C3orf52,13.0,12.0,15.0,365.0,12.0
GCSAM,43.0,6.0,1.0,13.0,2.0
RP11-757F18.5,4.0,7.0,4.0,77.0,2.0
SLC9C1,0.0,5.0,1.0,7.0,0.0
CD200,47.0,907.0,123.0,54.0,1.0
RP11-231E6.1,0.0,0.0,0.0,4.0,0.0
BTLA,63.0,9.0,7.0,10.0,2.0
ATG3,730.0,738.0,330.0,1301.0,54.0
SLC35A5,96.0,221.0,123.0,277.0,12.0
RP11-572C15.6,25.0,33.0,574.0,48.0,3.0
CCDC80,78.0,240.0,6071.0,260.0,23.0
CD200R1,24.0,1.0,1.0,6.0,0.0
RP11-484K9.4,1.0,0.0,0.0,4.0,2.0
GTPBP8,89.0,116.0,82.0,236.0,22.0
C3orf17,114.0,162.0,132.0,297.0,13.0
BOC,11.0,170.0,349.0,22.0,0.0
WDR52,13.0,52.0,13.0,73.0,0.0
SPICE1,45.0,94.0,58.0,213.0,7.0
SIDT1,40.0,12.0,9.0,77.0,1.0
SIDT1-AS1,17.0,7.0,1.0,28.0,1.0
KIAA2018,54.0,142.0,60.0,203.0,7.0
NAA50,291.0,320.0,272.0,998.0,44.0
ATP6V1A,315.0,346.0,181.0,641.0,25.0
GRAMD1C,12.0,61.0,11.0,204.0,2.0
ZDHHC23,7.0,20.0,2.0,106.0,3.0
KIAA1407,24.0,77.0,33.0,142.0,6.0
QTRTD1,77.0,153.0,47.0,227.0,9.0
RP11-553L6.2,29.0,3.0,4.0,5.0,0.0
ZNF80,3.0,0.0,0.0,2.0,0.0
TIGIT,334.0,28.0,34.0,51.0,1.0
RP11-553L6.5,54.0,531.0,265.0,430.0,12.0
ZBTB20,133.0,820.0,493.0,858.0,17.0
ZBTB20-AS2,10.0,26.0,6.0,36.0,1.0
GAP43,2.0,2.0,31.0,15.0,0.0
LSAMP,10.0,9.0,219.0,18.0,2.0
IGSF11,4.0,7.0,4.0,17.0,0.0
UPK1B,20.0,26.0,21.0,873.0,9.0
B4GALT4,111.0,104.0,160.0,1148.0,26.0
ARHGAP31,94.0,573.0,39.0,54.0,5.0
TMEM39A,110.0,93.0,162.0,328.0,14.0
POGLUT1,103.0,190.0,78.0,193.0,7.0
RP11-190C22.8,4.0,0.0,0.0,13.0,0.0
TIMMDC1,289.0,720.0,358.0,1205.0,55.0
CD80,76.0,2.0,3.0,4.0,0.0
ADPRH,67.0,209.0,32.0,35.0,1.0
PLA1A,25.0,292.0,46.0,37.0,0.0
POPDC2,5.0,47.0,63.0,25.0,0.0
COX17,1631.0,3074.0,1223.0,6945.0,225.0
MAATS1,1.0,24.0,14.0,81.0,0.0
NR1I2,1.0,2.0,1.0,129.0,0.0
GSK3B,129.0,287.0,158.0,565.0,28.0
LRRC58,175.0,263.0,202.0,681.0,26.0
FSTL1,164.0,926.0,2497.0,745.0,124.0
NDUFB4,2010.0,2771.0,2015.0,9688.0,414.0
HGD,24.0,19.0,19.0,465.0,7.0
RABL3,87.0,118.0,68.0,266.0,10.0
GTF2E1,64.0,88.0,33.0,152.0,4.0
STXBP5L,1.0,5.0,1.0,1.0,0.0
POLQ,12.0,1.0,0.0,26.0,2.0
HCLS1,1430.0,341.0,106.0,168.0,19.0
GOLGB1,378.0,787.0,477.0,2290.0,53.0
IQCB1,92.0,106.0,81.0,233.0,7.0
EAF2,199.0,37.0,27.0,173.0,3.0
SLC15A2,19.0,16.0,6.0,69.0,7.0
ILDR1,7.0,12.0,6.0,220.0,6.0
CD86,943.0,35.0,20.0,48.0,6.0
CASR,7.0,30.0,8.0,102.0,1.0
CSTA,2009.0,79.0,179.0,2538.0,88.0
CCDC58,71.0,152.0,83.0,545.0,11.0
FAM162A,678.0,596.0,826.0,3739.0,102.0
WDR5B,25.0,59.0,39.0,192.0,2.0
RP11-299J3.8,19.0,28.0,11.0,63.0,1.0
KPNA1,166.0,254.0,153.0,575.0,21.0
PARP9,336.0,536.0,244.0,1288.0,34.0
DTX3L,196.0,323.0,127.0,838.0,30.0
PARP15,56.0,22.0,13.0,26.0,1.0
PARP14,476.0,743.0,260.0,1475.0,40.0
HSPBAP1,120.0,126.0,45.0,196.0,6.0
DIRC2,40.0,63.0,23.0,184.0,8.0
RP11-67L2.2,21.0,32.0,10.0,59.0,7.0
SEMA5B,4.0,10.0,37.0,3.0,0.0
PDIA5,46.0,182.0,186.0,269.0,5.0
SEC22A,58.0,127.0,90.0,264.0,13.0
ADCY5,11.0,20.0,58.0,38.0,2.0
PTPLB,128.0,228.0,117.0,853.0,33.0
MYLK-AS1,5.0,16.0,6.0,31.0,0.0
MYLK,60.0,525.0,1745.0,123.0,25.0
CCDC14,190.0,355.0,222.0,706.0,39.0
KALRN,20.0,279.0,74.0,500.0,4.0
UMPS,105.0,175.0,110.0,348.0,21.0
ITGB5,128.0,241.0,758.0,1060.0,79.0
MUC13,84.0,85.0,61.0,3180.0,21.0
HEG1,77.0,3195.0,310.0,124.0,9.0
SLC12A8,16.0,26.0,202.0,130.0,6.0
ZNF148,215.0,505.0,272.0,823.0,29.0
SNX4,173.0,283.0,175.0,601.0,19.0
OSBPL11,138.0,88.0,40.0,149.0,10.0
RP11-379B18.5,5.0,9.0,15.0,51.0,2.0
RP11-666A20.4,2.0,1.0,5.0,31.0,1.0
ALG1L,9.0,4.0,8.0,188.0,15.0
SLC41A3,100.0,258.0,122.0,456.0,24.0
ALDH1L1,6.0,25.0,7.0,92.0,13.0
KLF15,6.0,17.0,23.0,33.0,1.0
ZXDC,58.0,88.0,32.0,177.0,10.0
CHST13,53.0,1.0,2.0,18.0,1.0
TXNRD3,10.0,50.0,35.0,48.0,4.0
CHCHD6,143.0,77.0,82.0,277.0,25.0
PLXNA1,76.0,62.0,118.0,284.0,49.0
TPRA1,136.0,242.0,152.0,473.0,24.0
MCM2,56.0,29.0,17.0,81.0,13.0
PODXL2,26.0,28.0,92.0,188.0,2.0
ABTB1,207.0,276.0,206.0,601.0,17.0
MGLL,203.0,1917.0,430.0,4255.0,125.0
KBTBD12,4.0,4.0,4.0,127.0,0.0
SEC61A1,391.0,647.0,463.0,1705.0,62.0
RUVBL1,170.0,311.0,163.0,609.0,26.0
EEFSEC,65.0,71.0,60.0,128.0,11.0
GATA2,37.0,392.0,19.0,13.0,0.0
RP11-475N22.4,5.0,231.0,6.0,36.0,0.0
RPN1,737.0,1130.0,578.0,2626.0,89.0
RAB7A,1603.0,1946.0,1301.0,3338.0,156.0
RP11-723O4.9,1.0,3.0,3.0,8.0,1.0
ACAD9,101.0,140.0,83.0,263.0,14.0
KIAA1257,1.0,16.0,7.0,35.0,0.0
EFCC1,4.0,92.0,12.0,5.0,0.0
RAB43,2.0,1.0,2.0,15.0,0.0
RP11-434H6.6,2.0,6.0,4.0,18.0,0.0
ISY1,179.0,329.0,165.0,489.0,25.0
RP11-434H6.7,7.0,29.0,14.0,51.0,1.0
CNBP,2189.0,2940.0,1942.0,5303.0,241.0
COPG1,229.0,316.0,302.0,1088.0,43.0
HMCES,181.0,283.0,138.0,687.0,31.0
H1FX,597.0,1352.0,496.0,1836.0,82.0
H1FX-AS1,10.0,33.0,18.0,33.0,1.0
MBD4,404.0,406.0,267.0,972.0,28.0
IFT122,56.0,106.0,45.0,178.0,5.0
PLXND1,244.0,1204.0,241.0,231.0,12.0
TMCC1,61.0,170.0,66.0,411.0,21.0
TMCC1-AS1,10.0,10.0,10.0,10.0,1.0
RP11-77P16.4,1.0,3.0,1.0,7.0,1.0
PIK3R4,32.0,135.0,48.0,162.0,9.0
ATP2C1,242.0,379.0,170.0,1159.0,35.0
ASTE1,38.0,60.0,32.0,123.0,5.0
NEK11,13.0,35.0,28.0,117.0,5.0
NUDT16,480.0,717.0,175.0,978.0,17.0
MRPL3,484.0,393.0,439.0,1426.0,74.0
CPNE4,3.0,3.0,1.0,37.0,2.0
ACPP,15.0,5.0,1.0,44.0,1.0
DNAJC13,102.0,151.0,101.0,273.0,11.0
ACAD11,12.0,20.0,15.0,28.0,4.0
NPHP3,90.0,319.0,149.0,267.0,5.0
ACKR4,4.0,10.0,42.0,113.0,0.0
UBA5,142.0,198.0,138.0,312.0,16.0
TMEM108,4.0,1.0,42.0,3.0,0.0
BFSP2,16.0,1.0,4.0,2.0,0.0
CDV3,525.0,771.0,387.0,1329.0,62.0
TOPBP1,106.0,131.0,50.0,226.0,15.0
TF,4.0,4.0,1.0,3.0,0.0
SRPRB,306.0,293.0,320.0,775.0,44.0
RAB6B,11.0,30.0,81.0,71.0,8.0
C3orf36,0.0,59.0,1.0,6.0,0.0
SLCO2A1,67.0,4697.0,60.0,212.0,13.0
RYK,83.0,427.0,195.0,528.0,32.0
RP11-200A1.1,1.0,2.0,1.0,17.0,2.0
AMOTL2,11.0,225.0,156.0,301.0,18.0
ANAPC13,367.0,687.0,431.0,1477.0,55.0
CEP63,155.0,210.0,170.0,405.0,22.0
EPHB1,2.0,27.0,2.0,22.0,1.0
PPP2R3A,13.0,75.0,42.0,162.0,5.0
MSL2,77.0,150.0,54.0,183.0,6.0
PCCB,112.0,77.0,51.0,256.0,14.0
STAG1,149.0,366.0,155.0,428.0,8.0
SLC35G2,38.0,400.0,57.0,141.0,4.0
RP11-731C17.2,7.0,22.0,2.0,32.0,1.0
RP11-85F14.5,63.0,38.0,16.0,166.0,5.0
NCK1,305.0,810.0,262.0,1034.0,45.0
IL20RB,7.0,8.0,12.0,190.0,28.0
CLDN18,175.0,79.0,56.0,9039.0,20.0
RP11-461M2.2,3.0,4.0,1.0,2.0,0.0
DZIP1L,16.0,37.0,39.0,53.0,5.0
A4GNT,1.0,4.0,0.0,50.0,0.0
DBR1,78.0,85.0,49.0,193.0,8.0
ARMC8,203.0,300.0,182.0,519.0,16.0
NME9,1.0,7.0,0.0,2.0,1.0
MRAS,67.0,143.0,113.0,42.0,5.0
ESYT3,2.0,3.0,0.0,17.0,0.0
CEP70,39.0,90.0,53.0,551.0,8.0
FAIM,148.0,233.0,173.0,809.0,23.0
PIK3CB,142.0,125.0,33.0,467.0,17.0
MRPS22,190.0,296.0,171.0,532.0,30.0
COPB2,305.0,452.0,386.0,1051.0,57.0
RP11-319G6.1,11.0,15.0,6.0,26.0,0.0
RBP1,262.0,895.0,962.0,975.0,367.0
NMNAT3,11.0,54.0,29.0,72.0,1.0
CLSTN2,4.0,1.0,62.0,4.0,2.0
SLC25A36,206.0,406.0,255.0,653.0,47.0
SPSB4,0.0,1.0,2.0,2.0,0.0
ACPL2,18.0,18.0,52.0,60.0,4.0
ZBTB38,318.0,762.0,464.0,1010.0,54.0
RASA2,178.0,175.0,121.0,390.0,17.0
RNF7,1133.0,1615.0,1025.0,4147.0,172.0
ATP1B3,1625.0,3358.0,1069.0,1564.0,190.0
RP11-271K21.11,4.0,12.0,8.0,10.0,0.0
TFDP2,90.0,248.0,175.0,461.0,23.0
RP11-485G4.2,61.0,109.0,49.0,350.0,11.0
GK5,33.0,49.0,22.0,123.0,6.0
XRN1,169.0,313.0,150.0,494.0,14.0
ATR,80.0,117.0,64.0,185.0,2.0
PLS1,38.0,47.0,27.0,1994.0,35.0
TRPC1,6.0,33.0,45.0,35.0,2.0
PCOLCE2,50.0,5.0,43.0,21.0,0.0
U2SURP,524.0,949.0,479.0,1721.0,75.0
RP11-91G21.1,17.0,15.0,7.0,59.0,3.0
CHST2,82.0,91.0,102.0,15.0,0.0
RP11-80H8.4,5.0,1.0,2.0,2.0,0.0
SLC9A9,79.0,35.0,32.0,21.0,1.0
C3orf58,95.0,142.0,113.0,174.0,6.0
PLOD2,51.0,246.0,675.0,687.0,45.0
PLSCR4,20.0,311.0,277.0,254.0,6.0
PLSCR2,1.0,8.0,0.0,29.0,0.0
PLSCR1,1285.0,2226.0,644.0,3548.0,95.0
AGTR1,3.0,10.0,97.0,8.0,0.0
CPB1,620.0,3101.0,726.0,632.0,23.0
GYG1,405.0,261.0,263.0,440.0,25.0
HLTF,80.0,104.0,86.0,223.0,12.0
HPS3,134.0,164.0,60.0,367.0,13.0
CP,35.0,64.0,58.0,1397.0,53.0
TM4SF18,18.0,1940.0,25.0,74.0,0.0
